UniqueCount	AmbigCount
118	0
0	288
2	221
2	252
0	246
5	261
7	93
0	59
0	55
0	52
3	1425
23	1425
4	0
0	826
45	1302
0	1070
0	1070
0	39
0	37
1	41
0	36
0	41
0	39
0	42
0	31
0	40
47	190
1	190
0	0
1	1541
26	1545
1	1837
67	1506
3804	0
15	2942
173	3843
2	1942
1	2937
0	119
6	119
2	118
0	0
135	802
0	802
0	31
50	31
2	957
1	957
3	925
4	937
0	913
0	1067
0	2
0	2
98	430
1	429
60	430
359	424
8	424
194	0
82	0
0	61
9	61
172	0
0	983
0	940
0	963
1	969
0	946
0	957
0	962
0	942
61	0
409	0
28	352
1	356
3	369
0	356
0	369
37	0
3	263
14	263
10	263
0	0
0	0
27	206
0	226
1	139
0	138
257	1761
10	1761
0	0
1	0
2	16485
3	16265
1	16639
0	16584
0	16947
2	16380
0	16543
2	16711
0	0
0	368
0	383
0	375
5	388
0	298
2	240
1	373
581	0
0	3
1	2
1	3
376	0
0	43
0	42
0	59
9	58
0	40
0	60
11	12
1	12
42	0
0	0
0	0
128	0
16	1353
159	1353
1	524
45	524
0	293
0	325
0	362
0	286
0	318
0	355
6	163
0	1
1	1
0	0
1994	0
0	0
0	10
0	10
74	727
16	655
17	556
0	545
4	591
210	0
99	758
2	758
0	4
0	3
0	4
0	3
0	3
6	0
21	2182
251	2182
5	2407
0	2817
46	2581
5	2108
0	95
0	130
1	107
0	114
0	111
26	0
4	32
0	32
37	0
240	0
1195	0
0	4212
1	2778
1	4152
301	4807
1017	0
20	54
0	54
2	53
1	946
0	902
0	889
0	911
1	914
3	933
0	1026
0	855
0	860
0	864
0	943
0	970
0	919
35	796
0	31
0	35
1	31
1	50
0	64
1	58
12	0
0	147
0	130
0	143
0	147
0	143
16	0
0	37
0	41
0	38
2	34
0	44
3	475
1	427
1	431
0	418
2	418
15	478
0	463
1	28
2	129
25	129
61	45
0	45
159	365
4	365
0	180
4	184
7	184
1	180
7	167
4	4
0	5
7	5
0	79
0	71
0	79
4	62
0	71
0	68
0	72
0	60
1	80
0	80
0	436
0	417
0	428
0	409
0	441
0	443
0	422
0	462
160	0
0	4260
4	4332
0	4659
0	4542
0	4425
11	4466
0	4556
3	4400
13	4322
9	4456
1	996
2	982
105	1117
5	0
19	984
242	984
15	348
3	348
27	7
0	325
0	288
0	339
2	278
0	376
1	314
0	0
0	32
2	33
0	36
0	34
0	0
230	0
2	1062
15	1049
2	796
14	1037
0	1217
2	1055
0	404
0	416
0	428
1	473
1	428
2	460
0	487
0	408
0	511
0	471
0	495
2	444
2	409
0	468
0	450
20	305
2	305
1	223
41	223
0	581
1	591
0	632
1	606
0	2942
0	2924
0	2957
0	3009
0	2890
0	791
12	871
1	612
1	0
584	0
0	172
91	172
0	107
0	260
0	297
2	271
1	283
3	276
3	398
1	353
8	284
3	0
0	0
191	0
256	0
6	95
3	95
0	1
0	11
2	11
2	0
7	3522
0	3624
14	3553
82	523
29	507
36	523
0	580
0	494
0	564
0	526
0	540
0	524
0	540
0	486
0	500
0	531
0	547
0	507
0	506
0	522
0	468
0	482
0	483
0	460
571	0
0	1943
0	1817
0	1809
0	1660
0	1786
0	1652
9	1757
640	0
0	0
1880	0
0	444
0	491
0	454
1	451
0	410
0	469
4	456
0	394
0	432
3	429
0	459
0	422
2573	0
143	137
25	137
708	0
93	0
0	8
0	11
0	11
0	1218
0	1200
0	1326
5	1245
9	1121
0	0
3	64
0	61
3	74
0	56
0	0
73	0
1	0
20	520
16	520
39	379
0	379
0	1390
5	1577
81	1621
20	1568
288	0
0	259
0	327
0	270
0	325
0	265
0	299
0	285
0	275
0	317
0	239
0	286
0	310
0	243
