UniqueCount	AmbigCount
102	0
0	225
2	177
3	207
1	198
0	200
13	98
0	35
0	35
0	29
1	1900
34	1900
12	0
0	886
42	1460
1	1235
0	1235
0	112
0	102
3	106
0	109
0	106
1	109
0	113
0	98
2	110
16	120
0	120
0	0
0	1368
50	1371
0	1600
58	1348
3380	0
12	2674
218	3419
1	1649
2	2663
2	117
1	117
0	117
0	0
506	2509
0	2509
0	65
120	65
2	1146
0	1096
2	1076
0	1143
0	1122
0	1263
1	6
0	6
90	292
0	293
29	293
238	294
9	294
50	0
32	0
0	68
11	68
136	0
0	849
0	844
0	849
0	842
0	837
0	844
0	824
0	825
38	0
495	0
7	123
1	123
0	125
0	122
0	124
17	0
1	385
28	386
8	386
0	0
0	0
25	192
0	197
2	120
0	109
562	3421
6	3421
0	0
0	0
2	9108
2	8978
2	9249
0	9247
0	9383
0	9044
2	9214
3	9261
0	0
2	600
0	627
0	603
21	640
0	478
12	372
2	611
744	0
0	3
0	0
0	3
220	0
0	73
0	74
0	102
10	101
0	70
0	101
6	11
0	11
146	0
0	0
0	0
161	0
10	541
67	541
3	769
79	769
0	197
0	232
0	247
0	187
0	222
0	237
1	116
0	5
2	5
0	0
2512	0
0	0
0	6
1	6
83	974
5	860
37	758
0	740
6	817
269	0
89	910
0	910
0	10
0	6
1	7
0	8
0	8
4	0
27	3235
399	3235
27	4461
1	5041
141	4705
1	3654
0	145
0	202
0	164
0	177
0	178
14	0
5	36
0	36
18	0
426	0
2274	0
0	3288
0	2105
0	3261
245	3744
1218	0
12	71
0	71
0	68
1	981
0	919
0	910
0	953
0	954
0	961
0	1049
0	899
0	907
0	891
1	981
0	974
1	954
24	814
0	27
3	30
0	27
0	34
0	36
0	34
11	0
0	158
0	126
1	155
0	156
0	157
8	0
0	24
0	23
1	20
1	22
0	23
2	582
1	526
0	526
0	522
0	522
3	582
0	578
0	13
2	181
12	181
38	45
0	45
141	413
2	413
0	113
1	113
1	109
0	109
8	103
4	9
0	10
1	10
0	57
0	47
0	57
3	44
0	47
0	53
0	48
0	43
1	58
0	58
0	235
0	234
0	236
0	235
0	251
0	250
0	250
0	251
122	0
0	4600
2	4718
0	5001
0	4877
0	4721
2	4795
0	4891
3	4712
3	4611
10	4770
0	1026
1	1010
117	1161
11	0
13	880
209	880
10	428
10	428
9	2
0	275
0	246
0	278
2	240
0	307
0	252
0	0
1	37
0	38
0	40
0	37
0	0
288	0
0	1010
15	1021
1	782
28	1011
0	1169
8	1017
0	275
0	280
0	261
7	306
0	288
2	288
0	294
0	273
0	321
0	288
1	298
7	283
0	248
0	294
0	290
14	268
3	268
0	184
44	184
0	733
0	766
0	823
0	783
0	2480
0	2429
0	2468
0	2526
0	2422
1	856
15	953
0	673
0	0
449	0
0	166
62	166
0	95
0	228
0	254
5	233
1	240
5	240
3	335
3	301
4	241
5	0
0	0
106	0
174	0
10	123
4	123
0	1
0	7
2	7
0	0
5	2590
0	2645
4	2590
101	571
24	548
67	571
0	516
0	424
0	505
0	443
0	459
0	446
0	457
0	383
0	399
0	450
0	461
0	404
0	458
0	469
0	396
0	412
0	410
0	398
419	0
0	2038
0	1855
0	1838
0	1712
0	1895
0	1695
14	1854
545	0
0	0
1836	0
0	401
0	452
0	421
1	415
0	399
0	434
2	425
0	389
0	403
3	398
0	415
0	384
2017	0
94	112
20	112
802	0
68	0
0	13
0	12
0	13
4	3086
4	3026
0	3364
42	3182
42	2810
0	0
0	70
0	61
0	76
0	57
0	0
26	0
1	0
17	427
9	427
59	487
1	487
0	1087
3	1196
69	1236
18	1193
220	0
0	61
0	75
0	59
0	78
0	67
0	63
0	62
0	60
0	70
0	52
2	60
0	65
0	61
0	72
1179	0
0	7
1	7
0	0
684	0
193	0
1	24
0	24
0	24
4	1198
2	1199
6	1196
1	1256
0	1255
0	34
11	34
248	0
99	0
38	0
0	0
0	11
0	9
4	10
6	0
5	345
1	341
0	369
0	345
1	281
144	0
2	13
15	36
0	13
0	36
11	8
2	8
45	0
4	196
25	196
0	37
0	30
4	31
2	24
0	27
0	22
7	1105
2	855
34	1196
0	3
5	0
67	5660
570	5660
0	0
0	14
0	14
0	14
0	14
1	18
0	18
0	0
0	0
6583	0
1	0
0	0
1	3
0	3
0	0
0	0
0	34
0	23
0	31
0	66
1	54
0	41
3	52
0	2
0	3
0	3
3	9
0	9
209	2523
21	2523
3	38
1	38
447	0
0	24
0	35
0	29
0	36
0	30
0	24
0	190
6	121
0	95
0	153
0	0
0	265
19	265
16	32
0	32
50	35
0	35
22	186
4	186
986	0
0	193
0	154
0	152
3	170
0	147
50	147
0	0
14	0
0	9273
1515	9273
0	0
77	0
14	0
0	0
0	78
16	78
32	0
0	0
0	1586
0	1586
19	1607
2	1305
0	1405
0	1469
0	1703
0	1619
0	1502
0	1524
0	1232
0	1641
0	1600
0	1483
0	492
0	457
0	528
4	505
14	463
0	533
3	415
0	452
0	1426
0	1216
0	1180
17	1066
488	0
0	319
8	333
0	309
1	350
0	347
12	341
4	4419
529	4419
121	0
0	1330
1	1336
1	1413
4	1213
0	1123
0	1241
0	1409
0	1290
0	1532
18	1344
527	5
0	6325
208	6325
52	0
0	91
0	60
0	82
0	102
0	1
0	243
0	223
0	218
0	236
0	229
0	235
0	233
0	226
0	228
0	221
0	209
0	228
0	223
0	244
0	219
3	233
0	261
0	281
0	256
0	268
0	273
0	266
0	242
0	245
0	210
0	189
2	199
0	0
103	0
0	0
0	702
0	742
0	769
0	772
0	800
7	766
1	771
0	442
0	414
1	428
0	414
6	396
0	442
0	390
0	427
0	390
3	56
2	56
33	0
0	0
5	305
0	261
5	217
0	247
1	255
9	217
121	915
4	900
34	915
0	608
0	0
0	86
1	87
6	92
1	86
0	1727
0	1715
0	1739
0	1703
0	1667
0	1729
0	1679
1	9
0	9
0	9
36	1991
1	89
0	1976
4	1986
1	1993
0	233
0	230
1	239
0	234
0	248
0	226
0	236
5	236
0	215
19	160
14	160
0	0
1	0
46	369
7	369
1	1
0	1
1403	0
587	0
197	0
0	1071
1	993
4	966
0	979
4	0
20	0
0	37
0	35
0	31
0	30
0	51
0	40
0	52
0	60
0	58
0	57
0	58
0	55
0	51
0	53
0	260
0	260
0	272
0	272
1	265
0	260
50	0
5	239
0	326
94	310
0	333
1621	2
361	2
3	0
0	416
0	481
2	422
8	377
0	365
0	427
0	172
0	161
2	205
0	194
0	62
0	60
0	67
1	58
0	768
6	528
29	761
12	769
1	762
0	750
18	1235
0	1271
2	1187
0	1210
0	1230
0	1021
0	1174
0	1224
10	987
0	1246
3	1091
0	1062
0	71
12	71
38	1263
47	1263
5	0
0	0
1	288
222	288
28	0
1538	0
0	308
49	308
27	351
0	64
3	351
98	1902
32	1902
0	833
6	777
16	759
0	766
1	0
0	0
137	988
17	988
20	645
2	633
1	633
7	585
0	321
1	267
0	219
0	328
0	275
0	235
0	276
3	291
3	311
0	395
0	340
1	304
0	271
214	0
0	3
0	3
1	764
3	726
0	821
51	764
1	750
0	102
7	100
0	100
0	102
1	101
3	102
13	5591
3	5591
1	0
330	105
0	0
0	0
50	0
0	1
1	126
0	191
0	227
0	224
0	127
0	188
126	912
0	912
60	0
0	162
1	147
0	146
3	138
1	137
0	143
3	136
0	131
0	128
0	133
0	130
0	149
29	5
479	0
0	1
3	32
3	42
1	44
11	645
32	645
2405	0
0	306
4	271
0	248
0	197
0	244
0	40
1	45
2	49
1	44
3	45
12	3263
480	3287
0	2470
0	3
106	0
17	0
0	0
6106	0
0	232
7	240
0	199
0	264
0	207
0	0
8	0
0	0
0	0
207	0
3	1576
0	1727
3	1576
9	1645
0	0
0	0
27	156
0	156
30	208
3	208
0	172
0	155
0	155
0	162
0	172
0	166
1	148
0	221
0	223
2	238
1	0
2	0
0	0
140	0
0	274
0	287
1	302
0	291
0	284
0	21
2	21
3	6
1	6
8	1368
66	1543
10	1398
9373	0
0	0
0	0
0	884
799	884
0	109
19	107
0	115
1	111
1	113
0	1185
0	722
1	1102
0	1279
7	1190
1	1156
0	38
0	32
0	45
0	37
0	37
3	27
0	44
2	952
138	952
31	14
702	119
284	0
0	229
0	229
0	204
0	204
0	229
0	227
0	254
0	250
0	254
0	244
2	223
0	241
0	251
6	192
554	0
1	19
0	19
0	14
0	0
57	0
129	0
0	237
0	265
0	230
0	248
1	246
0	263
0	247
0	272
4	288
0	270
0	297
6	125
2	126
0	124
3907	34
0	139
7	139
1	131
0	139
169	0
1	2217
25	2249
1	2218
0	2323
1	2194
9	1845
0	2270
5	2112
2	2109
0	2155
0	2237
0	2184
14	0
2	104
4	105
0	115
0	14
70	0
0	2047
7	2090
0	2091
0	2156
0	2052
0	2055
1	1970
0	133
0	157
0	131
0	2714
0	2594
0	2544
0	2419
0	2576
1	2478
0	2574
0	2454
0	2535
0	2471
0	2249
0	2422
0	2363
0	2553
1	0
0	834
0	799
1	783
1	808
3	625
1	2639
189	2660
2	2662
2	2657
0	0
1	0
831	0
8	1428
14	1239
0	1547
0	1321
1	1269
0	1404
64	1780
0	1780
154	0
0	320
1	254
2	275
17	2164
58	1703
33	1639
330	0
333	0
2	3676
798	5449
3	4229
0	259
0	258
4	259
4	259
0	249
0	182
0	1706
0	1702
0	1657
2	1679
0	1694
1	1707
23	1650
0	1735
0	1715
4	1613
1	33
0	66
2	104
5	104
2	96
0	0
2	0
559	0
0	867
0	592
0	916
0	881
15	31
0	31
1	0
0	10
0	10
0	162
0	158
0	182
0	173
0	212
0	174
0	178
0	169
0	176
0	171
0	180
11	3419
0	3684
3	3371
13158	0
304	2115
17	2115
2	51
0	26
0	73
0	44
0	70
0	47
0	12085
0	15659
19	14736
8	14736
5	13785
1910	0
0	0
0	0
8	0
0	0
1	0
2459	0
0	31
0	31
1	26
0	31
0	31
0	31
0	31
0	31
0	31
0	4
0	4
0	4
0	0
0	1399
0	1461
0	1384
0	1589
66	335
0	335
1	589
0	601
12	699
178	0
1	422
0	488
0	501
1	483
11	482
0	587
0	403
142	0
0	0
4	59
0	59
5	0
0	355
54	355
0	345
0	56
1	56
7	0
1	1242
0	1307
0	1395
6	993
0	0
160	304
5	304
46	0
128	857
29	845
1	857
0	0
0	88
