UniqueCount	AmbigCount
68	0
0	166
1	118
1	138
0	128
4	141
3	39
0	10
0	9
0	9
0	903
23	903
4	0
1	817
33	1503
0	1311
0	1311
0	116
0	112
1	115
0	108
1	109
2	114
0	122
0	98
0	114
18	85
1	85
0	0
0	1273
46	1273
0	1485
50	1214
3154	0
8	3440
188	4174
4	1742
0	3439
1	54
2	54
0	54
0	0
520	2101
0	2101
0	54
82	54
3	463
0	454
1	449
0	452
0	441
0	517
3	9
0	9
52	196
0	196
25	196
154	191
1	191
19	0
4	0
0	58
13	58
146	0
0	973
0	946
0	943
1	952
0	955
1	973
0	939
0	909
44	0
253	0
5	34
0	35
0	37
0	34
0	36
139	0
1	171
16	171
1	171
0	0
0	0
21	126
0	128
0	73
0	65
259	1441
1	1441
0	0
0	0
0	16004
1	15890
0	16241
0	16199
0	16539
0	15956
0	16155
3	16267
0	0
0	56
0	57
0	56
0	60
0	52
2	37
0	59
332	0
0	3
0	3
0	3
82	0
0	48
0	48
0	57
12	56
0	37
0	57
14	10
0	10
102	0
0	0
0	0
152	0
2	356
39	356
0	248
29	248
0	76
0	98
0	117
0	68
0	90
0	109
1	43
0	0
0	0
0	0
2467	0
0	0
0	5
1	5
57	417
7	353
24	300
1	297
1	342
264	0
70	665
0	665
0	6
0	4
0	4
0	5
0	6
1	0
30	1533
196	1533
1	1670
0	1881
45	1770
5	1346
0	9
0	12
0	11
0	9
0	11
28	0
6	60
0	60
41	0
220	0
793	0
0	1862
0	1148
0	1856
194	2074
662	0
3	36
0	36
0	35
0	696
0	668
0	645
1	700
0	700
1	678
0	763
2	635
0	647
0	639
0	688
0	715
0	680
24	595
0	20
0	28
0	28
0	20
0	24
0	22
11	0
2	135
0	110
0	139
0	137
0	137
4	0
0	29
0	23
0	22
1	27
0	22
0	612
0	580
0	578
0	577
0	577
3	610
0	607
0	8
1	59
10	59
45	15
0	15
72	177
2	177
0	112
0	106
0	106
2	110
3	94
8	5
0	5
10	5
0	73
0	66
0	75
5	55
0	68
0	72
0	68
0	65
0	74
0	75
0	280
0	284
0	277
0	281
0	288
0	302
0	292
0	298
95	0
3	5104
6	5239
0	5609
0	5464
0	5240
3	5310
0	5424
4	5270
4	5055
18	5299
3	550
1	576
64	652
3	0
17	543
126	543
5	290
5	290
32	6
0	305
0	253
0	283
1	260
0	335
0	273
0	0
0	41
2	39
0	43
0	43
0	0
212	0
0	734
15	755
2	530
16	748
0	845
1	724
1	164
0	173
0	174
1	183
2	176
3	182
0	187
0	174
0	204
0	185
0	191
2	186
1	165
0	193
0	185
16	171
1	171
1	158
22	158
0	371
0	379
0	407
0	386
0	1684
0	1665
0	1684
0	1732
0	1636
2	831
8	936
0	628
0	0
240	0
0	96
53	96
0	50
0	203
0	229
8	211
0	213
0	214
2	216
5	196
8	146
2	0
0	0
104	0
163	0
8	35
0	35
0	0
0	3
0	3
0	0
13	2818
0	2890
5	2846
64	513
13	500
34	513
0	343
0	264
0	318
0	276
0	298
0	272
0	297
0	230
0	252
0	279
0	304
0	259
0	284
0	309
0	242
0	264
0	263
0	245
333	0
0	961
0	885
0	863
0	793
0	869
0	771
9	871
468	0
0	0
1565	0
0	332
0	376
0	346
3	340
0	310
0	348
0	349
0	308
0	318
1	322
0	349
0	319
2708	0
54	84
28	84
214	0
66	0
0	10
0	10
0	10
0	1602
2	1576
0	1729
22	1644
28	1430
0	0
3	32
0	27
1	36
0	30
0	0
3	0
0	0
3	304
13	304
58	485
0	485
0	1589
4	1787
65	1821
8	1779
130	0
0	95
0	114
0	84
0	116
0	100
0	93
0	92
0	89
0	108
0	77
0	94
0	96
0	94
0	111
1003	0
0	10
0	10
0	0
462	0
171	0
1	12
0	12
0	12
7	701
4	702
7	701
0	740
0	741
0	3
0	3
229	0
91	0
45	0
0	0
0	6
0	5
0	6
6	0
0	263
0	262
0	287
0	263
0	218
77	0
0	4
6	11
0	4
0	11
0	0
1	0
10	0
4	231
33	231
0	13
0	7
0	9
1	10
0	9
0	8
6	714
1	555
33	778
0	0
2	0
53	2449
215	2449
0	0
0	10
0	10
0	10
0	9
0	7
0	7
0	0
0	0
6208	0
0	0
0	0
0	0
0	0
0	0
0	0
0	71
5	47
0	58
0	157
5	135
