UniqueCount	AmbigCount
126	0
0	228
0	158
3	209
0	200
1	199
14	78
0	55
0	48
0	46
2	1871
36	1871
12	0
0	994
37	1686
0	1411
0	1411
0	75
0	71
2	74
0	77
1	69
1	75
0	76
0	72
1	73
28	143
0	143
0	0
0	1482
44	1483
1	1783
74	1479
3645	0
8	3030
224	3880
1	1958
1	3027
0	74
4	74
1	74
0	0
423	2342
0	2342
0	52
101	52
4	1425
1	1408
0	1337
1	1423
0	1393
0	1578
0	3
0	3
91	357
0	354
27	357
309	356
7	356
66	0
49	0
0	68
18	68
165	1
0	928
0	917
0	916
0	920
0	921
1	929
0	916
0	904
53	0
417	0
16	142
1	143
1	145
0	143
0	145
13	0
3	383
30	384
5	384
0	0
0	0
27	208
0	223
0	154
0	140
534	3364
5	3364
0	0
1	0
0	11214
2	11104
4	11378
0	11379
0	11563
0	11144
0	11358
3	11412
0	0
3	532
0	556
0	534
16	563
0	431
18	341
1	538
719	0
0	3
0	4
0	4
244	0
0	85
0	86
0	105
12	104
0	72
0	104
10	7
1	7
177	0
0	0
0	0
127	0
7	538
73	538
3	764
83	764
0	182
0	212
0	242
0	179
0	209
0	239
0	99
0	5
0	5
1	0
2789	0
0	0
0	22
4	22
82	887
11	797
25	692
4	677
5	744
271	0
115	870
1	870
0	3
0	3
0	3
0	3
1	1
3	0
25	2923
365	2923
29	4305
0	4861
120	4517
4	3577
0	185
0	249
0	211
0	218
0	216
22	0
10	39
0	39
26	0
364	0
2069	0
0	3712
0	2403
0	3678
329	4194
1061	0
8	49
0	49
0	49
1	1152
0	1114
0	1062
0	1115
0	1117
0	1127
0	1243
0	1047
0	1055
0	1036
0	1149
0	1152
0	1116
32	985
1	17
4	25
0	22
0	26
0	30
0	29
15	0
1	182
0	143
0	169
0	175
0	176
8	0
0	40
0	38
0	40
3	39
0	40
1	622
0	552
0	553
0	547
1	547
3	622
1	614
1	10
3	205
19	205
59	35
1	35
162	381
7	381
0	128
2	127
1	126
0	126
7	113
7	6
0	8
3	8
0	47
0	40
0	49
1	33
0	42
0	44
0	42
0	37
1	49
0	49
0	301
0	294
0	292
0	285
0	309
0	309
0	302
0	316
137	0
1	5005
1	5101
0	5440
0	5282
0	5097
7	5177
0	5284
6	5126
7	4942
15	5150
0	1103
4	1114
156	1270
8	0
21	911
221	911
15	438
2	438
11	6
0	334
0	280
0	332
1	286
0	386
0	307
0	0
0	50
0	54
0	58
1	56
0	1
315	0
0	1051
18	1072
0	814
24	1063
0	1226
4	1070
0	292
0	314
0	302
14	331
0	325
6	313
0	351
1	281
0	376
0	331
0	353
3	326
0	279
0	347
0	334
19	297
1	297
0	202
46	202
0	759
1	787
0	853
1	804
0	2740
0	2726
0	2755
0	2812
0	2683
2	835
10	959
0	693
0	0
431	0
0	138
65	138
0	81
0	243
0	269
2	253
0	250
1	258
4	326
3	297
5	229
6	0
0	0
142	0
187	0
9	87
5	87
0	0
0	2
0	2
0	0
10	3011
0	3086
9	3033
101	627
36	606
56	627
0	587
1	495
0	590
0	526
0	535
0	525
0	522
0	461
0	470
0	540
0	537
0	485
0	537
0	534
0	473
0	482
0	469
0	463
455	0
0	2019
0	1861
0	1839
0	1727
0	1885
0	1705
20	1826
668	0
0	0
1861	0
0	385
0	448
0	396
1	417
0	383
0	438
2	416
0	343
0	386
3	375
0	431
0	379
2485	0
104	116
28	116
838	0
78	0
0	6
0	8
0	9
1	2713
2	2686
0	2937
19	2767
26	2480
0	0
1	85
0	79
2	95
0	77
0	1
49	0
2	0
16	450
11	450
54	471
0	471
0	1262
2	1386
77	1449
15	1376
237	0
0	67
0	77
0	60
0	79
0	72
0	63
0	60
0	58
0	73
0	57
0	62
0	65
0	65
0	74
1412	0
0	12
2	12
0	0
693	0
256	0
2	15
0	15
0	15
4	1132
3	1137
13	1135
0	1188
0	1183
0	51
8	51
279	0
113	0
49	0
0	0
0	37
0	30
1	32
5	0
8	386
2	383
0	424
0	386
0	317
146	0
1	7
10	30
0	7
0	31
17	7
0	7
59	0
1	171
20	171
0	46
0	32
0	34
1	34
0	31
1	26
10	1238
1	953
47	1332
0	1
4	0
88	6226
684	6226
0	0
0	27
0	27
0	27
0	26
1	13
0	13
0	0
0	0
7206	0
1	0
0	0
0	1
0	1
0	0
0	0
0	31
2	19
0	25
0	71
0	61
0	47
1	49
0	0
0	1
0	1
12	9
0	9
179	2304
12	2304
8	38
1	38
376	0
0	22
0	36
0	35
0	36
0	35
0	24
0	198
5	124
0	100
0	161
0	0
1	289
26	289
7	33
0	33
43	55
0	55
20	187
2	187
1246	0
0	184
0	153
0	140
0	152
0	163
63	163
0	1
8	0
0	10761
1526	10761
0	0
94	0
8	0
0	0
1	104
21	104
30	0
0	0
0	1735
0	1729
21	1738
0	1469
0	1568
0	1602
0	1862
0	1756
0	1623
0	1642
0	1359
0	1775
0	1742
0	1609
1	526
0	504
0	557
10	547
23	504
0	588
3	432
0	473
0	1167
0	1006
2	917
10	857
493	0
0	342
6	342
1	333
2	360
0	370
3	340
1	3879
447	3879
101	0
4	1425
0	1395
0	1520
2	1295
0	1158
0	1281
0	1500
0	1377
0	1643
10	1442
634	4
0	6382
155	6382
61	0
0	116
0	77
0	109
0	132
1	0
0	245
0	234
0	226
0	244
0	239
0	237
0	244
0	239
0	239
0	234
1	211
0	235
0	228
0	251
0	239
1	244
0	273
0	290
0	271
0	286
0	282
0	284
0	241
0	255
0	217
0	199
0	213
0	0
112	0
0	0
3	688
0	728
0	750
0	764
0	791
9	754
0	753
0	459
0	442
0	460
0	432
13	409
0	471
0	424
0	450
0	412
5	62
0	62
45	0
0	0
4	325
0	273
8	226
2	261
0	270
10	251
104	974
3	968
35	974
0	625
0	0
0	65
1	65
3	83
1	66
0	2036
0	2019
0	2048
0	2007
0	1963
0	2037
0	1975
1	9
0	9
0	9
30	2164
0	109
1	2138
5	2145
0	2168
0	305
0	305
0	309
0	306
0	322
0	292
0	312
4	313
0	281
10	137
13	137
0	0
1	0
68	409
4	409
1	2
0	2
1849	0
692	0
234	0
0	1123
0	1031
6	1018
0	1015
7	0
20	0
0	65
0	54
0	51
0	45
0	58
0	59
0	62
0	68
0	67
0	74
0	64
0	58
0	69
0	62
0	273
0	266
0	283
0	273
3	269
0	261
54	1
5	214
0	298
87	321
0	339
1882	0
490	0
3	1
0	426
0	522
2	454
12	414
0	364
0	459
0	219
0	186
2	242
0	209
0	55
0	53
0	62
2	55
0	765
12	518
34	763
7	766
1	764
0	745
31	1401
0	1432
1	1351
0	1362
0	1396
0	1147
0	1338
0	1386
5	1079
0	1401
2	1224
0	1183
0	83
13	83
27	1308
37	1308
5	0
0	0
3	288
225	288
43	0
1422	0
1	317
48	317
33	400
0	73
1	400
105	1903
31	1903
0	794
5	749
13	718
0	740
0	0
0	0
183	1040
27	1040
14	730
4	712
1	712
12	691
0	309
0	262
0	228
0	326
0	274
0	231
0	260
1	310
0	316
0	405
0	353
1	282
0	271
209	0
0	1
0	1
0	762
1	744
0	842
40	762
6	760
0	87
5	86
0	86
2	87
0	87
4	87
42	6248
2	6248
0	0
352	73
0	0
1	0
77	0
0	0
1	175
0	230
0	264
0	263
0	178
0	229
106	889
1	889
61	0
0	146
1	127
0	129
0	124
2	121
0	128
6	121
0	112
0	111
0	115
0	114
0	132
37	9
430	0
0	0
5	16
3	25
1	29
7	645
29	645
2976	0
0	275
3	236
0	212
0	184
0	217
0	31
0	30
1	32
3	33
4	28
24	3951
669	3967
0	2994
0	1
101	0
22	0
0	0
7195	0
0	262
