UniqueCount	AmbigCount
105	0
0	285
0	217
2	255
0	248
6	270
12	96
0	62
0	58
0	49
3	1580
30	1580
6	0
0	856
39	1445
0	1197
0	1197
0	39
0	38
1	37
0	33
0	39
0	34
0	40
0	31
0	38
39	239
2	239
0	0
0	1695
33	1696
1	2054
67	1717
3922	0
13	3525
235	4557
1	2183
2	3520
2	158
8	158
2	156
0	0
202	891
0	891
0	32
53	32
2	979
1	983
2	956
1	1005
1	988
0	1122
0	4
0	4
129	511
0	511
54	511
365	389
11	389
180	0
96	0
0	52
10	52
199	0
0	1053
0	1003
0	1027
0	1028
0	1004
0	1029
0	1023
0	997
81	0
406	0
20	318
2	322
0	332
0	322
0	332
21	0
0	274
16	274
5	274
0	0
0	0
26	244
0	257
0	143
0	131
315	1975
14	1975
0	0
0	0
1	20112
3	19806
4	20370
1	20357
0	20769
1	19995
2	20298
2	20405
0	0
3	313
0	318
0	318
17	323
0	261
1	196
0	318
630	0
0	1
1	1
0	1
369	0
0	86
0	85
0	110
9	108
0	74
0	111
11	9
0	9
65	0
0	0
0	0
113	0
13	1269
154	1269
6	469
49	469
0	304
0	334
0	375
0	290
0	320
0	361
2	179
0	1
1	1
0	0
1995	0
0	0
0	4
2	4
74	679
7	597
9	513
3	498
5	565
209	0
86	869
2	869
0	4
0	4
0	3
0	4
0	4
2	0
28	2266
330	2266
5	2486
0	2854
39	2635
4	2051
0	69
0	99
0	83
0	83
0	86
19	0
14	55
0	55
30	0
230	0
1344	0
0	4598
1	3039
0	4558
391	5257
1031	0
10	60
0	60
2	59
0	915
0	866
0	860
0	881
0	882
2	887
0	991
0	822
0	826
0	844
0	910
0	938
0	890
33	750
0	32
2	38
0	37
0	50
0	60
0	56
27	0
0	151
0	128
0	144
0	151
1	144
14	0
0	30
0	30
0	26
2	29
0	31
1	477
0	423
0	427
0	417
2	416
10	481
0	469
0	19
2	119
11	119
50	29
0	29
127	357
5	357
0	214
5	214
2	205
3	205
11	186
3	8
0	11
4	9
0	75
0	68
0	75
13	66
0	68
0	64
0	72
0	57
0	79
0	79
0	464
0	462
0	462
0	460
0	470
0	497
0	468
0	499
165	0
0	4717
2	4845
0	5152
0	5010
1	4864
6	4924
0	4994
3	4838
22	4706
13	4856
2	989
1	1010
153	1138
10	0
20	1078
