UniqueCount	AmbigCount
132	0
0	268
3	190
1	239
0	233
1	244
12	76
0	56
1	48
0	48
2	2129
45	2129
10	0
0	1077
51	1813
0	1498
0	1498
0	103
0	95
4	94
0	99
0	86
1	95
0	101
0	93
3	99
29	180
3	180
0	0
0	1686
62	1686
3	2033
84	1659
4006	0
4	3254
254	4233
2	2043
1	3251
2	121
4	121
0	120
0	0
529	2617
1	2617
0	67
121	67
6	1563
0	1576
4	1494
1	1580
0	1550
0	1754
2	6
0	6
97	367
0	366
30	367
370	409
16	409
74	0
59	0
0	69
17	69
160	0
0	1052
0	1025
0	1031
0	1033
0	1027
1	1042
1	1017
0	998
54	0
477	0
16	172
0	173
1	176
0	172
0	175
26	0
2	461
38	462
5	462
0	0
0	0
24	246
0	272
0	167
0	165
613	3739
12	3739
0	0
0	0
1	12443
3	12324
2	12629
1	12626
0	12844
5	12373
1	12570
1	12665
0	0
0	593
1	613
0	595
12	627
0	458
9	346
4	607
832	0
0	2
1	0
0	2
282	0
0	98
0	98
0	122
8	122
0	80
0	122
13	9
1	9
179	0
0	0
0	0
187	0
9	628
65	628
3	851
91	851
0	192
0	218
0	247
0	182
0	208
0	237
1	117
0	3
2	3
0	0
3080	0
0	0
0	23
4	23
90	988
7	896
20	760
0	751
6	809
295	0
118	1034
3	1034
0	7
0	8
0	8
0	7
1	6
2	0
32	3266
408	3266
31	4755
0	5438
126	5095
7	3984
0	221
0	290
0	249
0	257
0	248
15	0
10	37
0	37
16	0
394	0
2302	0
0	4136
0	2729
0	4092
346	4735
1246	0
14	62
3	62
0	59
0	1163
1	1114
0	1052
0	1129
0	1134
2	1142
0	1262
1	1060
0	1070
0	1019
0	1161
0	1149
0	1123
34	988
0	9
1	11
0	11
1	28
0	34
0	32
16	0
0	177
1	150
0	177
0	176
0	178
10	0
0	36
0	30
2	38
1	36
0	32
2	656
0	605
0	605
0	601
1	601
5	656
1	652
0	14
2	230
15	230
53	31
0	31
164	412
5	412
0	138
1	134
1	132
0	132
3	122
6	5
0	7
4	7
0	65
0	58
0	67
6	47
0	60
0	61
0	59
0	54
2	66
0	66
0	351
0	344
0	342
0	335
0	356
0	358
0	349
0	365
152	0
0	5501
3	5646
0	6039
0	5841
1	5664
8	5738
0	5857
10	5698
4	5482
15	5706
2	1271
6	1256
166	1442
17	0
14	1023
248	1023
20	495
3	495
17	6
0	291
0	257
0	303
1	238
0	337
1	270
0	0
0	43
1	45
0	48
0	46
0	1
348	0
2	1172
14	1193
1	890
33	1184
0	1364
6	1180
0	365
0	378
0	360
9	413
5	386
1	368
3	401
0	356
0	445
0	406
0	403
7	385
0	345
0	399
0	402
33	321
4	321
0	225
37	225
0	738
0	768
0	844
0	803
0	3018
0	2995
0	3040
0	3105
0	2953
2	938
17	1047
1	717
0	0
502	0
0	217
84	217
0	123
0	268
0	299
7	274
1	291
4	288
3	393
6	353
8	266
1	0
0	0
142	0
183	0
7	105
4	105
0	1
2	4
0	4
0	0
11	3422
0	3502
8	3425
109	693
38	668
64	693
0	636
0	519
0	607
0	537
0	571
0	527
0	556
0	458
0	492
0	533
0	562
0	497
0	542
0	571
0	472
0	506
0	491
2	492
537	0
0	2255
0	2062
0	2042
0	1902
0	2095
0	1882
26	2045
685	0
0	0
2147	0
1	450
0	503
0	456
2	434
1	430
0	481
6	470
0	405
0	434
0	431
0	478
0	431
2738	0
106	100
21	100
918	0
75	0
0	13
0	10
0	13
0	3095
8	3006
0	3348
33	3157
37	2793
0	0
3	100
0	104
3	115
0	92
0	0
49	0
2	0
19	492
12	492
68	580
2	580
0	1417
2	1559
92	1625
18	1551
227	0
0	86
0	111
0	99
0	113
0	91
0	101
0	93
0	91
0	108
0	79
0	100
0	103
0	79
0	108
1483	0
0	21
2	21
1	0
826	0
303	0
1	13
0	13
0	13
5	1228
4	1231
13	1228
1	1277
0	1274
0	44
9	44
282	0
117	0
58	0
0	0
1	33
0	26
5	30
9	0
2	427
1	424
1	477
0	427
1	349
177	0
3	6
13	30
0	7
0	30
20	12
0	12
69	0
3	204
20	204
0	64
1	50
2	48
2	48
2	43
3	40
13	1294
1	1010
57	1418
0	0
7	0
101	6902
773	6902
0	0
0	29
0	27
0	27
0	27
1	16
0	16
0	0
0	0
8001	0
1	0
0	0
0	2
1	2
0	0
0	0
0	36
0	23
0	32
0	69
0	59
0	35
1	56
0	3
0	4
0	4
7	11
1	11
227	2515
20	2515
3	37
0	37
380	0
0	26
0	43
0	41
0	42
0	40
0	29
0	273
6	168
0	146
0	224
0	0
0	284
20	284
8	29
0	29
54	39
0	39
29	214
3	214
1325	0
0	272
0	235
1	210
3	221
0	165
67	165
0	1
20	0
1	11934
1889	11934
0	0
82	0
13	0
0	0
3	127
38	127
49	0
0	0
0	1893
0	2001
27	1908
0	1670
0	1778
0	1763
0	2131
0	1941
0	1811
0	1834
0	1496
0	1964
0	1922
0	1792
1	532
0	510
0	568
10	559
17	520
0	609
0	437
0	469
0	1340
0	1137
0	1063
18	981
528	0
0	389
3	396
1	363
2	389
0	420
4	374
3	4318
517	4318
120	0
0	1528
2	1503
0	1630
2	1374
0	1237
0	1368
0	1598
0	1467
0	1761
11	1549
729	8
0	7464
183	7464
74	0
0	125
0	91
1	122
0	143
0	0
0	237
0	255
0	239
0	270
0	259
0	255
0	255
0	244
0	242
0	231
1	225
0	236
0	220
0	252
0	237
2	232
0	260
0	277
0	279
0	306
0	295
0	282
0	237
0	262
0	228
0	225
0	233
0	0
112	0
0	0
2	779
0	831
0	859
0	872
0	902
12	863
0	863
0	593
0	540
0	577
0	539
9	525
0	596
0	535
0	557
0	532
6	62
0	62
50	0
0	0
1	356
0	296
6	237
0	278
1	292
9	261
135	1107
6	1098
37	1107
0	704
0	0
0	75
0	71
6	82
1	75
0	2239
0	2223
0	2261
0	2201
0	2158
0	2253
0	2180
0	12
0	12
1	12
42	2304
2	106
0	2274
2	2283
2	2305
0	385
0	385
0	402
0	392
0	415
0	375
0	394
3	394
0	352
8	151
11	151
0	0
1	0
67	415
7	415
1	2
0	2
2123	0
770	0
287	0
0	1281
1	1180
8	1153
0	1163
2	0
22	0
0	60
0	54
0	46
0	37
0	56
0	60
0	66
0	77
0	77
0	77
0	67
0	63
0	66
0	66
0	327
0	310
0	334
0	321
3	317
1	314
63	0
10	237
0	348
94	352
0	371
2145	1
509	1
5	0
0	464
0	540
2	457
14	433
0	391
0	465
0	251
0	223
6	282
0	254
1	71
1	68
0	80
1	75
1	805
9	515
35	799
14	806
0	800
0	785
38	1490
0	1564
0	1442
1	1476
0	1512
0	1238
0	1448
0	1490
6	1178
0	1515
3	1335
0	1290
0	85
8	85
41	1472
55	1472
4	0
0	0
1	324
270	324
43	0
1519	0
1	319
41	319
46	459
3	75
0	459
140	2105
36	2105
0	853
7	811
17	800
0	784
1	0
0	0
204	1107
21	1107
12	774
6	757
0	757
9	711
0	343
0	281
0	240
0	356
0	292
0	266
1	306
1	328
3	337
0	436
0	372
0	317
0	299
269	0
0	1
0	1
0	830
0	758
0	886
45	830
4	794
0	95
3	94
0	94
2	95
1	95
1	95
47	6966
7	6966
0	0
367	93
1	0
0	0
61	0
0	0
1	176
0	226
0	258
0	271
3	177
0	239
137	954
1	954
64	0
0	198
4	157
0	168
2	167
0	148
0	172
5	165
0	142
0	146
0	148
0	152
0	178
31	5
468	0
0	1
1	23
0	25
1	28
8	719
39	719
3176	0
1	323
4	274
1	250
0	211
0	268
0	32
1	34
1	37
1	35
0	32
29	4337
723	4356
0	3314
0	0
141	0
18	0
0	0
7885	0
0	246
3	259
0	211
0	294
2	229
1	0
4	0
0	0
0	0
208	0
1	1560
0	1716
9	1592
10	1604
0	0
0	0
37	188
0	188
42	272
8	272
0	180
0	152
0	154
0	169
0	178
1	169
3	179
0	289
1	284
2	305
0	0
4	0
0	0
196	0
0	331
0	339
1	355
2	345
0	341
0	32
3	32
10	10
0	10
6	1654
93	1925
13	1731
9188	0
0	0
0	0
1	1163
826	1163
0	139
21	138
0	143
3	142
0	140
0	1456
0	922
0	1370
0	1558
5	1446
0	1409
0	69
0	61
0	72
0	70
0	65
1	53
0	74
1	1187
154	1187
34	19
787	112
353	0
0	273
0	270
0	255
0	252
0	273
0	278
0	294
1	295
0	291
0	283
9	257
0	267
0	297
5	244
592	0
1	19
0	19
1	12
0	0
46	0
115	0
0	298
0	331
0	293
0	316
1	287
0	327
0	315
0	336
5	320
0	321
0	342
12	160
3	160
0	157
3887	36
0	162
11	161
0	154
1	161
171	0
0	2748
21	2766
4	2744
0	2923
0	2745
15	2256
0	2784
1	2593
1	2581
0	2618
0	2787
0	2648
12	0
0	108
5	117
0	124
0	17
119	0
0	2394
3	2451
0	2454
0	2540
0	2419
1	2378
6	2299
0	183
0	226
0	196
0	2806
0	2661
0	2614
0	2492
0	2675
1	2550
0	2676
0	2531
0	2639
1	2597
0	2273
0	2458
0	2458
0	2625
3	0
0	848
2	811
2	792
2	814
2	618
3	3203
187	3218
4	3220
13	3214
0	0
1	0
928	0
7	1419
11	1248
0	1539
0	1341
0	1288
0	1431
86	1988
1	1988
163	0
0	375
1	293
2	332
13	2181
55	1664
29	1638
406	0
366	0
2	4371
843	6697
1	5195
0	340
0	340
6	340
9	340
1	333
0	240
1	1862
0	1847
0	1803
1	1813
2	1838
2	1858
25	1801
0	1888
0	1880
6	1754
2	36
0	87
5	179
2	179
1	176
0	0
3	0
629	0
2	966
0	672
0	1007
1	972
10	29
1	29
2	0
1	4
1	4
0	188
0	189
0	211
0	200
0	243
0	193
0	203
0	204
0	198
0	195
0	208
23	3948
0	4238
5	3879
16711	0
435	2675
16	2675
4	76
0	37
0	108
0	64
0	108
0	64
0	11192
0	14539
10	13687
3	13687
1	12871
1998	0
0	0
0	0
7	2
0	2
1	0
2823	0
0	27
0	26
0	23
0	26
0	28
0	26
1	26
0	25
0	25
0	6
0	5
0	6
0	0
0	1793
0	1823
0	1787
0	2001
79	455
0	455
2	687
2	721
24	845
180	0
2	492
0	559
0	569
2	578
10	555
0	689
0	440
150	0
2	0
3	67
0	67
31	0
7	381
89	381
0	377
0	42
0	42
4	0
2	1465
1	1597
0	1684
20	1226
0	0
221	361
9	361
65	0
197	975
23	968
2	975
1	0
0	90
2	89
1	86
92	0
0	0
3787	0
0	0
2312	0
0	79
0	73
1	71
1	582
0	657
1	576
0	0
0	314
1	291
0	302
0	308
6	320
0	302
3	305
0	1339
0	940
543	1630
0	1638
9	1637
1	1635
11	43
0	43
852	0
11	0
1523	0
0	851
0	820
0	760
0	791
1313	0
1	1650
0	1759
0	1706
1	1454
11254	1531
0	321
0	238
0	267
0	258
10	267
0	352
0	322
0	331
0	312
0	304
59	0
0	1798
9	2047
97	2300
0	2047
1531	0
2	1200
171	1200
14	0
0	0
0	0
0	374
0	318
6	318
3	315
1	331
0	318
57	1092
20	1092
82	0
0	132
4	155
1	132
1811	0
0	433
0	413
2	447
0	473
0	453
5	422
0	540
2	457
3	402
0	379
0	489
0	463
21	455
0	405
616	0
10	364
90	426
7	443
1	443
0	689
0	617
0	497
0	569
0	671
3	340
91	332
1	354
32	347
0	0
13838	0
53	0
0	439
6	405
9	395
17	0
0	0
0	0
372	0
300	0
19	0
23	0
8	285
91	306
36	296
0	0
0	0
9	178
0	673
0	668
0	725
0	672
0	615
0	686
0	629
0	543
37	0
0	829
0	776
1	799
0	754
1632	0
0	0
1741	0
1673	0
0	331
0	275
0	280
0	336
0	244
3	307
6	260
3	270
0	290
0	932
0	797
1	1023
3	904
0	1168
13	959
5	850
8869	0
0	768
0	747
0	725
9	696
0	746
3	709
0	745
233	0
143	0
8	0
0	608
0	642
0	632
0	626
0	603
0	635
0	637
0	603
0	587
3	577
0	655
9	603
0	608
0	605
0	48
0	48
0	35
3	48
0	41
167	705
0	705
0	0
0	0
0	0
0	0
0	0
1	63
10	63
0	60
11	74
1	74
0	906
0	919
0	903
2	902
0	834
0	835
0	898
0	902
3	903
0	804
0	791
2	898
2	0
85	0
0	944
10	1036
15	951
0	254
0	299
0	304
1	309
0	324
0	279
0	327
0	349
73	0
0	1237
45	1233
6	1233
0	1133
0	217
117	329
0	343
0	0
2	19
0	19
0	335
0	357
0	316
0	352
0	342
0	393
55	0
0	679
2	500
7	498
8	521
8	50
0	50
4	0
0	226
0	190
0	215
17	315
0	330
4	316
60	0
1	974
117	974
0	0
74	1366
6	1366
2	0
0	71
0	56
0	71
0	86
0	82
0	60
2	0
103	346
0	346
0	3461
0	2854
1	2883
1	2838
0	2892
0	3018
0	3543
0	3492
9	3536
0	3540
0	3591
0	3551
66	0
2	0
0	0
0	0
0	309
5	309
14	306
0	127
9	121
0	125
0	5
0	6
0	8
0	7
0	0
2	287
0	356
0	302
1	307
28	2499
1	2606
4	2479
114	0
2	0
1	0
0	221
0	208
0	205
0	195
0	182
112	0
41	0
0	55
0	44
0	48
0	47
0	49
0	59
2	6
0	6
0	7
1	6
0	227
2	157
1	200
0	210
1	209
0	259
0	237
0	247
0	247
0	225
0	234
0	256
0	244
0	222
0	225
0	214
0	200
1	154
0	222
0	447
13	447
76	33
1	0
40	243
3	214
1	44
14	53
14	0
93	0
7	0
0	86
0	76
0	76
0	45
1	41
0	108
0	94
7	82
0	76
11	87
0	78
0	64
0	63
1	565
0	610
0	577
0	607
0	654
0	624
0	0
0	859
2	837
0	722
0	978
0	840
327	0
1	34
0	40
0	42
4	35
1	39
0	825
0	777
0	793
0	792
0	883
0	840
1	807
0	815
0	863
0	868
0	813
0	833
0	848
78	0
0	427
19	446
3	450
0	506
230	15267
5	13370
0	13370
0	11711
1	163
14	124
3	163
0	292
