UniqueCount	AmbigCount
86	0
0	268
1	195
5	234
0	228
2	241
11	77
0	55
0	50
1	51
4	1349
24	1349
15	0
0	787
32	1315
1	1084
0	1084
0	47
0	47
0	44
0	43
0	42
0	43
0	47
0	43
2	46
37	175
1	175
0	0
0	1474
27	1474
2	1792
68	1479
3685	0
11	2810
179	3691
2	1825
0	2806
0	100
5	100
0	100
0	0
158	807
1	807
0	30
40	30
0	913
1	909
3	884
2	923
0	905
0	1033
0	2
0	2
105	458
0	458
38	458
345	340
3	340
177	0
82	0
1	54
19	54
183	1
0	983
0	937
0	961
0	959
0	935
0	956
0	953
0	930
52	0
416	0
32	329
3	337
4	351
1	332
0	346
26	0
3	261
11	261
16	261
0	0
0	0
32	236
0	253
2	158
0	143
268	1740
13	1740
0	0
0	0
0	16137
2	15903
0	16271
0	16324
0	16620
1	15965
0	16283
2	16358
0	0
1	317
0	322
0	325
10	334
0	264
2	202
0	329
567	0
0	6
0	4
0	6
328	0
0	49
0	47
0	61
7	61
2	46
0	63
8	12
1	12
51	0
0	0
0	0
118	0
19	1255
170	1255
3	485
49	485
0	243
0	291
0	337
0	239
0	287
0	333
1	135
0	1
0	1
0	0
1973	0
0	0
0	4
0	4
87	752
14	684
15	573
4	557
2	609
229	0
74	770
1	770
0	9
0	7
1	7
0	9
0	9
2	0
20	2046
237	2046
3	2373
0	2739
48	2525
3	2011
0	95
0	126
0	108
0	110
0	108
20	0
6	36
0	36
39	0
261	0
1200	0
0	4193
1	2747
0	4146
310	4801
1017	0
19	61
0	61
0	60
0	890
0	847
0	844
0	874
0	877
1	870
0	962
0	803
0	813
0	828
1	888
0	912
0	871
27	778
0	22
1	24
0	20
1	59
0	70
0	64
11	0
0	135
1	118
0	134
0	133
0	136
15	0
0	41
0	39
1	35
2	38
0	37
3	454
0	422
0	419
0	412
1	413
10	451
2	444
1	16
2	129
15	129
52	41
0	41
194	364
6	364
0	198
5	197
5	187
0	187
9	173
7	8
0	10
4	9
0	71
0	57
0	70
10	50
0	56
0	73
0	60
0	59
0	71
0	74
0	445
0	442
0	416
0	413
0	447
0	460
0	444
0	463
156	0
0	4221
3	4284
0	4617
0	4488
1	4350
8	4414
0	4485
2	4336
11	4218
7	4354
0	1001
0	1002
138	1115
9	0
13	972
274	972
15	311
3	311
24	4
0	292
0	250
0	297
3	237
0	339
0	290
0	0
0	45
1	46
0	50
1	48
0	1
220	0
0	994
22	982
0	743
