UniqueCount	AmbigCount
107	0
0	308
0	237
0	275
0	267
4	274
7	95
0	64
0	57
1	55
0	1428
31	1428
13	0
0	858
31	1396
0	1150
0	1150
0	30
0	27
1	28
0	27
1	31
1	28
0	31
0	23
1	30
53	219
1	219
0	0
0	1655
30	1663
2	1951
70	1662
3743	0
4	3385
254	4378
3	2090
0	3380
0	120
6	120
1	118
0	0
163	880
2	880
0	30
36	30
1	981
1	992
4	944
1	979
0	963
0	1105
0	3
0	3
128	459
1	458
39	459
348	358
11	358
165	0
79	0
1	55
13	55
192	0
0	1037
0	983
0	1010
2	1009
0	983
0	1009
0	1015
0	989
64	0
404	0
17	292
2	298
0	308
1	296
0	306
24	0
2	282
17	282
8	282
0	0
0	0
25	205
0	221
1	130
1	122
293	1973
15	1973
0	0
1	0
0	19092
8	18841
6	19395
1	19306
0	19689
0	18930
2	19222
2	19400
0	0
2	323
0	329
0	328
7	332
0	269
3	208
0	326
578	0
0	1
0	1
0	1
331	0
0	64
0	65
0	80
7	78
0	53
0	79
7	9
0	9
51	0
0	0
0	0
126	0
12	1218
138	1218
4	517
43	517
0	252
0	302
0	337
0	245
0	295
0	330
2	154
0	1
0	1
0	0
1773	0
0	0
0	11
3	11
36	644
3	572
15	493
2	483
1	537
208	0
78	810
2	810
0	7
0	5
0	5
0	5
0	6
1	0
12	2084
291	2084
5	2267
0	2624
45	2423
4	1905
0	79
0	104
0	88
0	90
0	93
12	0
8	53
0	53
25	0
229	0
1350	0
0	4497
0	2771
0	4460
322	5054
1034	0
12	39
0	39
0	38
0	920
1	897
0	862
0	885
0	887
4	900
0	1001
0	831
0	834
0	837
0	913
0	949
0	886
23	776
0	29
0	32
0	28
0	46
0	59
0	54
20	0
0	149
0	118
0	147
0	149
0	147
13	0
0	42
0	38
1	40
4	36
0	42
2	505
0	440
1	442
0	432
0	432
13	507
1	492
0	22
4	115
14	115
49	39
0	39
145	366
2	366
0	206
6	214
2	215
2	207
6	182
7	9
0	10
1	10
0	84
0	60
0	86
6	57
0	62
0	86
0	63
0	62
3	87
0	87
0	462
0	454
0	445
0	437
0	462
0	479
0	454
0	487
147	0
1	4473
4	4552
0	4862
0	4760
1	4630
3	4697
0	4752
3	4561
8	4520
12	4630
0	961
1	965
116	1090
7	0
18	993
253	993
15	359
2	359
31	3
0	318
0	286
0	319
4	270
0	351
0	291
0	0
0	55
0	57
0	60
0	59
0	0
229	0
0	1116
9	1109
2	851
14	1099
0	1284
5	1107
1	440
0	450
0	446
6	506
1	461
2	463
3	513
0	424
0	551
0	507
2	518
5	479
0	433
0	490
1	485
21	280
3	280
0	191
36	191
0	556
0	577
0	632
1	594
0	3044
0	3045
0	3064
0	3123
0	2985
1	825
11	931
0	635
0	0
604	0
0	158
76	158
0	82
0	251
0	282
3	260
1	267
3	270
2	361
1	322
8	258
2	0
1	0
171	0
268	0
7	79
5	79
0	0
1	9
1	9
1	0
14	3774
0	3872
10	3795
97	663
25	645
24	663
0	604
0	502
0	592
0	537
0	548
0	540
0	552
0	484
0	495
0	548
0	560
0	503
0	515
0	527
0	460
0	471
0	476
0	461
635	0
0	1964
0	1804
0	1797
0	1661
0	1821
0	1654
7	1760
702	0
0	0
1934	0
0	416
0	473
0	438
0	432
0	401
0	448
4	431
1	391
0	413
1	414
0	440
0	405
2730	0
124	110
28	110
671	0
82	0
0	7
0	8
0	8
1	1017
1	987
0	1095
7	1032
3	925
0	0
3	55
0	52
1	62
0	45
0	0
46	0
1	0
13	436
20	436
51	372
0	372
0	1522
4	1683
87	1733
31	1675
340	0
0	233
0	311
0	254
0	311
0	241
0	281
0	270
0	262
0	300
0	211
0	272
0	290
0	222
0	303
1323	0
0	6
1	6
0	0
616	0
230	0
1	15
0	15
0	15
1	360
4	361
8	360
2	373
0	372
0	27
5	27
285	0
160	0
