UniqueCount	AmbigCount
93	0
0	140
1	101
0	133
1	125
0	127
4	46
0	10
0	9
0	6
1	1082
21	1082
7	0
3	681
27	1121
0	947
0	947
0	20
0	22
1	22
0	20
0	17
0	22
0	22
0	20
1	21
2	45
1	45
0	0
0	935
18	935
1	1127
36	925
2227	0
11	1998
123	2533
0	1096
0	1998
0	54
2	54
0	53
0	0
248	1661
0	1661
0	43
66	43
4	1696
2	1626
8	1591
1	1683
0	1658
0	1866
3	2
0	2
44	298
0	297
29	298
273	286
10	286
143	0
11	0
0	31
7	31
104	0
0	710
0	698
0	705
0	708
0	701
0	703
0	697
0	693
40	0
338	0
16	193
1	199
0	202
0	197
0	200
30	0
1	301
24	301
5	301
0	0
0	0
17	135
0	149
1	90
0	95
238	1412
4	1412
0	0
0	0
0	7212
3	7131
1	7336
0	7334
0	7425
0	7166
0	7320
0	7353
0	0
6	447
0	455
0	452
21	459
0	368
8	268
0	451
405	0
0	1
0	1
2	1
187	0
0	60
0	58
0	74
7	74
0	46
0	76
13	5
0	5
109	0
0	0
0	0
171	0
4	447
49	447
3	628
60	628
0	145
0	173
0	200
0	142
0	170
0	197
2	82
0	10
0	10
0	0
1619	0
0	0
0	11
3	11
50	711
4	649
11	568
0	556
4	597
223	0
74	555
1	555
0	4
0	2
0	2
0	3
0	3
11	0
27	2024
262	2024
16	2618
0	2886
75	2746
4	2116
2	509
0	718
1	584
0	622
0	638
18	0
3	13
0	13
30	0
212	0
975	0
0	2550
0	1689
0	2527
194	2869
890	0
11	52
1	52
0	52
0	958
1	909
0	898
0	944
0	946
3	956
0	1027
4	885
0	897
0	889
0	951
1	973
1	940
39	771
0	29
2	32
2	30
0	54
0	62
1	55
90	0
0	91
0	76
0	89
0	93
0	87
7	0
0	27
0	29
0	24
2	24
0	29
1	567
2	516
0	513
0	512
0	512
3	563
2	561
0	11
1	123
7	123
44	20
0	20
98	286
5	286
0	87
0	87
2	82
0	81
6	80
5	3
0	3
1	3
0	34
0	30
0	35
2	25
0	31
0	35
0	32
0	31
0	35
0	36
0	220
0	217
0	214
0	211
0	237
0	234
0	234
0	237
69	0
1	3439
5	3491
0	3729
0	3654
0	3493
3	3547
0	3623
3	3444
4	3387
10	3530
0	846
3	860
105	961
5	0
15	690
222	690
7	460
5	460
13	4
0	137
0	124
0	137
0	118
0	150
1	130
0	0
0	36
1	36
0	37
0	36
0	0
133	0
1	565
6	573
1	488
19	569
0	664
4	573
0	207
0	218
0	215
3	239
0	225
2	228
0	245
3	211
0	265
0	239
0	247
5	227
0	200
0	241
0	233
15	166
2	166
1	144
32	144
0	435
0	448
0	502
1	471
0	1728
0	1705
0	1713
0	1765
0	1676
0	343
3	391
0	286
0	0
264	0
0	101
45	101
0	56
0	178
0	198
7	185
0	188
1	187
2	265
3	240
4	196
3	0
0	0
102	0
108	0
2	39
4	39
1	0
0	5
0	5
0	0
0	2004
0	2043
4	2012
63	407
24	391
35	407
0	431
0	351
0	401
0	375
0	411
0	365
0	395
0	339
0	375
0	364
0	394
0	374
0	373
0	403
0	347
0	383
0	367
1	324
316	0
0	1700
0	1549
0	1539
0	1455
0	1606
0	1445
17	1469
445	0
0	0
1319	0
0	276
0	303
0	285
0	264
0	247
0	286
2	283
0	246
0	268
0	273
0	280
0	262
1298	0
77	69
15	69
735	0
50	0
0	5
0	6
0	6
2	945
1	887
0	1000
11	957
5	885
0	0
3	60
0	59
1	67
0	54
0	0
66	0
1	0
19	455
18	455
40	387
0	387
0	688
2	756
51	776
3	751
185	0
0	110
0	140
0	109
0	139
0	114
0	121
0	117
0	112
0	133
0	96
1	119
0	126
1	106
0	135
1222	0
0	15
1	15
0	0
398	0
22	0
3	17
0	17
0	17
0	613
2	614
5	611
0	637
0	636
0	61
13	61
112	0
77	0
61	0
0	0
0	59
0	43
5	47
7	0
2	300
1	298
0	331
0	300
0	246
49	0
0	3
4	12
0	3
0	12
11	3
0	3
131	1
1	41
4	41
0	68
1	55
3	49
0	46
0	46
0	36
2	768
1	533
37	843
0	0
2	0
43	3831
397	3831
0	0
0	9
0	9
0	9
0	8
2	7
0	7
0	0
0	0
4533	0
0	0
0	0
0	1
0	1
0	0
0	0
0	54
2	35
0	45
0	109
2	89
0	63
3	86
0	1
0	2
1	2
2	8
0	8
28	407
2	407
2	23
0	23
319	0
0	25
0	31
0	33
0	32
0	34
0	24
0	140
2	86
0	82
0	110
0	0
0	150
12	150
4	9
0	9
35	18
0	18
17	107
3	107
566	0
0	186
0	162
0	144
0	162
0	125
48	125
0	0
10	0
1	7382
1202	7382
0	0
