UniqueCount	AmbigCount
97	0
1	265
0	200
1	240
3	232
3	239
3	88
0	52
0	50
0	41
2	1340
25	1340
7	0
1	784
24	1297
1	1036
0	1036
0	37
0	36
1	36
0	35
0	36
0	36
0	38
0	33
1	36
28	196
2	196
0	0
0	1451
34	1451
0	1766
75	1432
3515	0
10	2677
201	3511
0	1791
0	2670
1	99
1	99
2	99
0	0
146	841
1	841
0	25
45	25
3	958
0	946
2	892
3	934
0	922
0	1060
1	7
0	7
110	391
0	392
43	392
312	379
9	379
196	0
73	0
0	46
3	46
170	0
0	991
0	945
0	971
0	971
0	945
0	964
0	966
0	946
60	0
377	0
25	316
1	323
9	344
1	319
0	340
30	0
0	240
11	240
9	240
0	0
0	0
19	221
0	236
2	139
2	128
242	1678
8	1678
0	0
0	0
0	15314
5	15084
3	15551
0	15546
0	15815
1	15257
0	15483
2	15570
0	0
0	304
0	308
0	312
6	316
0	246
3	191
1	312
542	1
0	1
1	1
0	1
302	0
0	41
0	41
0	62
7	62
1	48
0	62
9	11
1	11
51	0
0	0
0	0
119	0
10	1248
157	1248
6	480
40	480
0	270
0	305
0	346
0	268
0	303
0	344
0	168
0	0
0	0
0	0
1890	0
0	0
0	5
2	5
58	669
11	608
12	522
0	508
2	560
213	0
92	731
2	731
0	4
0	3
0	3
0	3
1	4
4	0
12	2052
260	2052
5	2311
1	2594
33	2400
2	1922
0	97
0	137
0	113
0	117
0	124
21	0
5	42
0	42
40	0
206	0
1153	0
0	3977
1	2667
0	3935
276	4526
962	0
10	52
0	52
0	50
0	808
0	795
0	750
0	768
0	770
2	801
0	876
2	720
0	724
0	735
1	806
0	817
0	786
26	703
0	25
3	28
1	26
0	44
0	46
0	43
7	0
1	131
0	110
0	136
0	133
0	134
12	0
0	37
0	37
0	35
1	33
0	36
5	434
0	406
0	400
1	394
3	395
7	427
2	419
1	21
3	151
7	151
47	32
0	32
147	354
5	354
0	186
2	189
1	187
1	181
11	163
8	3
0	4
6	3
0	77
0	65
0	81
3	60
0	69
0	78
0	73
0	66
1	84
0	85
0	437
0	438
0	423
0	424
0	449
0	462
0	450
0	461
148	0
2	4008
2	4134
0	4405
0	4282
0	4151
11	4203
0	4318
3	4145
17	4064
6	4208
1	897
2	896
155	1007
12	0
12	960
232	960
8	336
3	336
21	9
0	299
0	264
0	304
3	257
0	339
1	275
0	0
0	39
1	42
0	42
0	39
0	1
171	0
0	1037
14	1005
2	767
8	994
0	1175
4	1034
0	432
1	447
0	430
2	488
1	458
2	443
4	482
0	407
0	528
0	488
0	489
2	462
0	421
0	470
1	473
29	304
2	304
0	189
41	189
0	546
1	558
0	605
2	572
0	2742
1	2738
0	2751
0	2831
0	2662
0	744
13	832
1	570
1	0
587	0
0	142
76	142
0	76
0	237
0	266
4	249
1	247
2	249
3	386
4	349
7	275
5	0
1	0
175	0
206	0
5	89
2	89
0	1
0	6
1	6
0	0
10	3308
0	3394
8	3318
82	494
21	476
32	494
0	613
0	516
0	597
0	546
0	563
0	521
0	537
0	470
0	487
0	532
0	548
0	498
0	545
0	561
0	494
0	511
0	485
0	497
569	0
0	1865
0	1726
0	1700
0	1587
0	1726
0	1561
5	1668
616	0
0	0
1635	0
0	382
0	450
0	398
3	419
0	361
0	426
0	408
0	333
0	374
0	367
0	430
0	378
2439	0
130	104
21	104
619	0
80	0
0	7
0	8
0	8
0	1217
1	1205
0	1311
5	1202
8	1090
0	0
1	55
0	53
2	61
0	50
0	0
64	0
1	0
17	431
13	431
49	355
1	355
1	1377
3	1522
85	1566
23	1517
302	0
0	244
0	296
0	236
0	291
0	251
0	255
0	252
0	236
0	282
0	215
0	246
0	272
0	236
0	284
1264	0
0	11
0	11
0	0
511	0
191	0
1	20
0	20
0	20
3	328
6	331
8	326
1	340
1	337
0	32
11	32
260	0
100	0
112	0
0	0
0	11
0	9
0	7
2	0
0	334
1	332
1	371
0	334
1	275
111	0
1	4
5	19
0	4
0	19
0	1
0	1
74	0
1	40
5	40
0	17
0	13
1	15
0	15
0	14
0	13
12	1401
3	1094
58	1534
0	1
1	0
78	6196
769	6196
0	0
0	17
0	16
0	16
0	16
0	28
0	28
0	0
0	0
5711	0
1	0
0	0
0	1
0	1
0	0
0	0
1	16
0	10
2	14
0	30
0	21
0	21
0	21
0	4
0	5
0	5
6	10
0	10
107	1186
6	1186
0	13
0	13
115	0
0	13
0	17
0	18
0	18
0	19
0	13
0	173
0	103
0	100
0	136
0	0
0	266
18	266
3	15
1	15
19	17
0	17
25	288
7	288
1024	0
0	173
0	150
0	125
1	151
0	90
37	90
0	1
10	0
3	9126
1457	9126
0	0
81	0
20	0
0	0
1	172
47	172
14	0
0	0
0	1545
0	1456
4	1571
0	1209
0	1309
0	1413
0	1588
0	1597
0	1465
0	1518
0	1239
0	1650
0	1581
0	1449
0	466
0	422
0	494
17	482
22	444
0	513
2	375
0	403
0	357
1	279
0	300
10	244
527	0
0	250
10	258
0	223
1	242
0	269
2	242
1	2174
261	2174
84	0
2	1285
0	1283
0	1369
1	1153
0	1046
0	1166
0	1329
0	1209
0	1490
9	1303
581	0
0	2397
25	2397
31	0
0	86
0	69
1	91
0	101
2	0
0	290
0	301
0	272
0	321
0	309
0	294
0	307
0	295
0	279
0	267
2	255
0	296
0	268
0	316
0	288
2	290
0	328
0	350
0	333
0	353
0	355
0	339
0	288
0	323
0	258
0	270
0	256
0	0
120	0
0	0
0	678
0	701
0	728
0	728
0	755
6	724
0	729
0	732
0	686
0	709
1	683
9	659
0	735
0	669
0	712
0	666
11	186
0	186
16	0
0	0
0	261
0	226
3	171
0	204
1	223
6	206
96	839
3	831
34	839
0	536
0	0
0	30
1	26
2	34
1	30
0	2168
0	2160
0	2190
0	2138
0	2085
0	2173
0	2107
0	3
0	3
0	3
24	1679
0	71
0	1664
0	1667
1	1682
0	478
0	473
1	474
0	462
0	502
0	444
0	474
5	475
1	417
6	134
13	134
0	0
1	0
55	342
7	342
0	2
0	2
675	0
560	0
241	0
0	1169
0	1070
7	1049
0	1070
7	0
5	0
0	42
0	39
0	35
0	33
0	44
0	44
0	48
0	55
0	54
0	53
0	51
0	47
0	47
0	48
0	299
0	297
0	313
0	302
3	301
0	288
84	1
1	163
0	245
62	240
0	254
1184	0
495	0
6	1
0	302
0	356
1	295
1	285
0	245
0	298
0	171
0	159
1	200
0	188
0	85
1	80
0	97
2	83
2	816
7	531
27	811
10	816
1	811
0	793
14	799
0	827
0	775
0	783
0	803
0	680
0	774
0	798
4	655
0	803
1	725
0	704
0	210
22	210
20	979
25	979
1	0
0	0
1	238
187	238
41	0
980	0
0	306
46	306
25	426
2	74
0	426
68	1195
9	1195
0	855
2	805
4	775
0	794
0	0
0	0
107	546
13	546
18	707
5	695
0	693
10	611
0	256
0	209
0	176
0	259
0	212
0	188
0	228
1	217
0	249
0	299
0	252
1	236
0	215
207	0
0	1
0	1
0	159
0	154
0	172
7	159
6	154
0	98
5	96
0	96
4	99
0	97
1	98
29	4951
3	4951
0	0
175	31
1	0
0	0
48	0
0	0
1	172
0	234
0	269
0	275
2	180
0	240
76	465
0	465
41	0
0	216
