UniqueCount	AmbigCount
113	0
0	166
0	126
2	151
0	147
0	149
8	60
0	15
0	15
0	12
1	1143
17	1143
8	0
0	942
29	1510
2	1251
0	1251
0	272
0	244
5	267
0	257
0	250
2	262
0	278
0	223
9	270
4	69
1	69
0	0
0	545
26	545
0	644
22	518
2740	0
6	1792
94	2252
0	1052
1	1791
3	38
0	38
1	38
0	0
156	977
1	977
1	41
77	41
6	1466
3	1440
4	1407
1	1497
0	1467
0	1656
1	2
0	2
74	300
0	300
30	300
178	195
4	195
166	0
0	0
0	71
14	71
110	0
0	1103
0	1106
0	1092
0	1095
0	1109
0	1115
0	1074
0	1063
43	0
562	0
21	271
0	273
1	283
1	272
0	282
471	0
0	342
22	342
9	342
0	0
0	0
33	198
0	222
1	125
1	121
263	1658
2	1658
0	0
3	0
1	8535
0	8374
4	8667
0	8656
0	8785
2	8445
2	8658
1	8683
0	0
0	181
0	188
0	183
11	194
0	148
6	111
1	187
414	1
2	11
2	11
2	14
235	0
0	25
0	25
0	33
2	33
0	25
0	33
11	10
0	10
102	0
0	0
0	0
405	0
8	479
47	479
4	460
62	460
0	149
0	174
0	197
0	138
0	163
0	186
5	77
0	7
0	7
0	0
3367	0
0	0
0	12
1	12
94	914
9	828
28	730
0	714
2	781
476	0
78	692
3	692
0	29
0	26
0	25
0	27
0	25
19	0
29	1664
228	1664
5	3188
0	3616
86	3371
2	2632
0	141
0	203
0	157
0	182
0	180
29	0
10	52
0	52
86	0
248	0
731	0
0	909
0	589
0	902
49	1018
1169	0
12	87
0	87
0	83
1	1315
1	1223
0	1227
0	1278
1	1278
5	1276
0	1407
1	1211
0	1214
0	1201
0	1308
0	1323
0	1282
36	1040
1	40
3	49
0	47
1	54
0	69
0	67
81	0
0	135
0	108
0	128
0	133
0	130
8	0
0	35
0	33
0	35
1	33
0	35
4	785
0	702
1	699
0	695
0	693
3	782
2	774
0	11
6	232
20	232
81	36
0	36
225	507
5	507
0	153
1	150
0	141
1	143
8	134
9	7
0	7
