UniqueCount	AmbigCount
141	0
1	283
0	220
3	257
1	247
3	259
9	81
0	20
0	19
0	13
3	1637
30	1637
16	0
3	1202
59	2009
0	1605
0	1605
0	40
0	37
1	39
0	39
0	38
0	41
0	42
0	34
2	40
28	173
0	173
0	0
0	1284
32	1290
2	1527
53	1266
2954	0
1	2228
183	2905
1	1370
3	2227
2	99
5	99
1	99
0	0
102	534
0	534
0	21
35	21
5	2178
0	2198
4	2133
0	2214
0	2150
0	2465
0	1
0	1
118	505
1	505
57	505
486	459
17	459
359	0
2	0
0	32
4	32
201	0
0	935
0	907
0	925
0	927
0	909
0	918
0	910
0	899
31	0
563	0
36	588
7	603
4	630
0	599
0	626
57	0
1	367
16	370
18	370
0	0
6	0
26	258
1	278
1	167
0	144
219	1474
6	1474
0	0
2	0
1	13184
1	13035
2	13401
0	13363
0	13612
2	13167
0	13322
0	13438
0	0
1	565
0	587
0	569
11	596
0	451
7	333
2	574
590	0
2	5
5	5
1	5
552	0
0	40
0	40
0	54
5	54
0	40
0	54
12	7
0	7
81	0
0	0
0	0
263	0
11	973
98	973
1	501
66	501
0	316
0	350
0	396
0	309
0	343
0	389
1	176
0	4
1	4
0	0
1957	0
0	0
0	38
1	38
115	1311
8	1184
34	1003
3	983
2	1092
241	0
92	807
0	807
0	8
0	7
0	7
0	8
0	6
13	0
26	1733
193	1733
7	3575
0	4214
81	3854
8	3172
0	151
0	214
2	172
0	188
0	189
24	0
7	32
0	32
75	0
167	0
1385	0
0	3010
0	2009
1	2975
237	3459
1202	0
29	135
0	135
0	131
0	1100
0	1052
0	1013
2	1089
0	1091
3	1097
0	1210
3	997
0	1010
0	996
0	1100
0	1119
1	1078
44	962
0	43
6	57
0	48
0	86
0	97
0	90
128	0
0	127
0	115
0	132
0	133
0	126
5	0
0	58
0	61
3	55
13	57
0	65
4	697
0	631
1	626
0	622
3	623
17	691
1	685
3	20
3	213
21	213
105	57
0	57
225	565
2	565
0	236
4	251
2	246
0	229
13	203
8	4
0	4
2	4
0	57
0	50
0	59
5	40
0	52
0	52
0	50
0	45
0	57
0	57
0	572
0	566
0	554
0	548
0	581
0	605
0	575
0	611
200	0
0	4653
3	4781
0	5093
0	4967
0	4802
9	4893
0	4972
5	4786
15	4682
11	4852
1	1160
2	1155
114	1316
11	0
25	1178
340	1178
19	874
6	874
15	1
0	255
0	229
0	251
2	211
0	277
0	233
0	0
0	26
1	27
0	28
0	26
0	0
187	0
0	840
11	851
1	641
11	848
0	971
4	847
0	405
1	427
0	437
3	462
2	437
3	442
4	478
0	412
0	512
0	483
1	481
5	441
0	411
0	466
0	457
25	309
0	309
1	200
41	200
0	506
0	530
0	566
0	542
0	3122
1	3109
0	3143
0	3205
0	3060
1	475
6	549
2	380
1	0
591	0
0	151
76	151
0	80
0	265
0	319
3	279
2	294
5	305
2	382
3	337
10	281
5	0
0	0
232	0
255	0
4	43
5	43
0	1
1	21
8	21
1	0
9	3649
0	3734
9	3669
75	477
24	464
33	477
0	783
0	691
0	794
0	715
0	717
0	717
0	706
0	638
0	640
0	735
0	724
0	658
0	711
0	700
0	632
0	634
0	625
0	658
569	0
0	2787
0	2619
0	2607
0	2429
0	2597
0	2417
13	2492
686	0
0	0
1720	0
0	439
0	501
0	465
2	450
0	431
0	471
4	461
1	426
0	435
7	431
0	473
0	437
1920	0
160	142
21	142
733	0
48	0
0	23
0	24
0	25
0	696
2	676
0	739
5	700
7	650
0	0
6	156
0	141
2	165
1	150
0	0
43	0
2	0
24	821
30	821
39	460
1	460
0	1109
2	1226
67	1276
15	1220
292	0
0	323
0	395
0	303
0	394
0	336
0	333
0	325
0	313
0	372
0	275
2	325
0	345
0	317
0	381
2463	0
0	54
9	54
0	0
467	0
134	0
6	29
0	29
0	29
3	272
8	274
8	271
0	292
0	290
0	27
14	27
176	0
44	0
102	0
0	0
0	31
0	27
4	26
7	0
5	412
0	411
0	454
0	412
0	320
80	0
0	6
6	14
0	6
0	14
2	0
0	0
38	0
0	53
1	53
0	204
0	143
6	164
1	157
0	152
2	132
6	1479
1	1161
59	1626
0	0
0	0
103	7571
796	7571
0	0
0	18
0	17
0	17
0	17
1	18
0	18
0	0
0	0
5687	0
0	0
0	0
1	6
1	6
0	0
0	0
0	50
0	28
1	41
0	81
3	70
0	49
8	61
0	2
0	2
0	2
5	10
0	10
38	658
1	658
0	9
0	9
186	0
0	14
0	17
0	17
0	18
0	18
0	14
0	238
2	127
0	141
1	195
1	0
0	173
13	173
4	5
0	5
11	8
0	8
14	205
3	205
451	0
0	205
0	176
0	160
0	179
0	182
82	182
0	0
22	0
1	8370
1199	8370
19	0
33	0
12	0
1	0
1	157
38	157
2	0
0	0
0	2042
0	1946
20	2086
0	1622
0	1782
0	1869
0	2119
0	2109
0	1936
0	1992
0	1670
0	2165
0	2088
0	1915
5	1128
0	1115
0	1168
20	1183
45	1138
0	1302
5	916
0	981
0	474
0	412
0	387
15	369
380	0
0	399
7	412
3	379
0	391
0	431
3	388
1	2521
274	2521
52	0
2	1128
0	1132
0	1245
7	1055
0	977
0	1063
0	1247
0	1161
0	1331
21	1149
3884	9
0	8218
91	8218
16	0
0	83
0	61
0	77
0	91
1	0
0	400
0	395
0	384
0	418
0	379
0	413
0	392
0	353
0	384
0	345
2	342
0	374
0	363
0	405
0	376
1	362
0	436
0	473
0	457
0	496
0	486
0	457
0	394
1	441
0	340
0	337
2	359
0	0
40	0
0	0
1	673
0	717
0	737
0	748
0	769
5	740
1	738
0	722
0	671
1	703
0	664
5	636
0	727
0	658
0	691
0	653
13	221
1	221
0	0
0	0
5	354
0	305
5	246
0	281
0	298
14	260
118	1149
7	1130
35	1149
0	709
8	0
1	16
0	16
0	19
3	16
0	2022
0	2016
0	2038
0	2000
0	1957
0	2030
0	1973
2	15
0	15
0	15
35	2725
0	107
0	2695
1	2701
1	2727
0	541
0	535
1	546
0	533
0	565
0	515
0	538
13	540
0	486
4	73
6	73
0	0
0	0
20	210
3	210
0	1
0	1
1551	0
696	0
210	0
0	1318
1	1230
5	1192
0	1218
5	0
17	0
0	23
0	21
0	20
0	15
0	25
0	22
0	35
0	31
0	36
0	32
0	26
0	25
0	31
0	30
0	262
0	259
0	277
0	275
4	270
0	260
142	2
5	268
0	403
78	403
0	421
963	0
396	0
12	1
0	372
0	441
4	383
4	355
0	322
0	390
0	191
0	181
1	221
1	211
0	67
0	64
0	70
0	59
1	928
8	636
43	926
13	928
0	926
0	911
12	1477
0	1543
1	1418
2	1448
0	1475
0	1245
0	1406
0	1469
4	1193
2	1509
0	1363
0	1313
0	134
13	134
28	1065
41	1065
0	0
0	0
2	263
217	263
62	0
987	0
1	179
26	179
30	439
2	73
6	439
79	1461
18	1461
0	1542
7	1446
6	1424
0	1440
1	0
0	0
87	648
15	648
22	832
3	810
0	810
12	738
0	348
0	299
0	242
0	357
0	307
0	255
1	310
0	308
2	331
0	412
0	361
1	323
0	287
271	0
0	0
0	0
0	112
0	105
0	124
3	112
0	114
0	54
3	53
0	53
2	54
0	54
1	54
10	4243
2	4243
0	0
402	101
4	1
0	0
33	0
0	0
0	190
0	245
0	281
0	298
0	195
0	262
49	406
0	406
39	0
0	406
0	325
0	346
0	352
2	304
0	344
2	331
0	297
0	295
0	284
0	281
0	343
23	20
198	0
0	0
0	16
4	18
0	20
2	389
23	389
3434	0
0	444
1	385
0	346
0	308
0	381
0	42
3	46
2	51
1	47
4	43
14	2359
376	2369
0	1797
0	0
96	0
19	0
3	0
5451	0
0	221
3	220
0	192
0	254
0	202
1	0
0	0
0	0
0	0
232	0
3	1601
0	1735
6	1603
2	1629
0	0
0	0
35	211
0	211
36	271
0	271
0	133
0	105
0	113
0	112
0	125
0	121
0	66
0	96
0	99
1	104
9	0
3	0
0	0
152	0
1	287
0	291
1	301
3	296
0	292
0	8
0	8
24	36
1	36
10	1022
43	1143
4	999
1863	0
0	0
0	0
0	1409
1122	1409
0	68
10	64
1	70
4	70
1	65
0	1177
0	746
0	1095
0	1259
2	1152
1	1138
0	19
0	17
0	21
0	18
0	16
0	17
0	20
1	1024
142	1024
68	26
599	126
387	0
0	199
0	186
0	183
0	170
0	180
0	203
0	210
1	206
0	197
0	195
3	180
0	183
0	220
10	178
637	0
1	4
0	4
0	4
0	0
67	0
191	0
0	269
0	310
0	268
1	291
1	273
0	298
0	280
0	311
2	186
0	175
0	191
6	119
2	119
1	116
4070	30
0	168
7	165
1	164
0	165
106	0
0	2093
64	2145
1	2092
0	2152
0	2007
5	1668
0	2176
2	2031
4	2020
0	2095
0	2117
0	2141
9	0
1	98
3	100
0	113
0	14
23	0
0	2039
7	2110
0	2110
0	2158
0	2045
0	2046
3	1978
0	191
0	231
0	193
0	3102
0	2970
0	2915
0	2768
0	2951
1	2824
0	2963
0	2831
0	2912
0	2861
0	2578
0	2779
0	2711
3	2923
1	0
0	300
0	284
0	276
0	293
0	209
1	1912
138	1922
1	1925
2	1920
0	0
3	0
716	0
1	835
2	727
0	912
0	781
0	768
0	815
46	1253
1	1253
110	0
0	255
3	204
3	213
4	918
21	719
15	701
156	0
258	0
0	3125
