UniqueCount	AmbigCount
68	0
0	147
1	108
1	132
2	130
0	134
6	46
0	17
0	16
0	14
2	958
15	958
5	0
2	912
40	1608
0	1340
0	1340
0	99
0	91
7	94
0	99
1	84
1	96
0	98
0	92
3	96
12	76
0	76
0	0
0	1186
28	1187
3	1404
45	1170
3408	0
9	3185
223	4113
3	2024
0	3180
1	57
2	57
0	57
0	0
491	2206
0	2206
1	53
114	53
1	523
0	517
2	501
0	506
0	495
0	579
2	6
0	6
41	203
0	202
29	203
181	195
4	195
23	0
8	0
1	78
13	78
105	0
0	1107
0	1100
0	1090
0	1094
1	1104
0	1117
0	1075
0	1058
33	0
291	0
5	60
1	61
1	63
0	60
0	62
204	0
0	210
25	211
4	211
0	0
0	0
19	152
0	159
1	105
1	99
238	1393
3	1393
0	0
0	0
2	17130
5	16948
5	17346
2	17318
0	17673
0	17014
0	17305
2	17424
0	0
0	62
0	64
0	61
1	64
0	41
2	25
0	62
366	1
1	4
0	3
0	4
86	0
0	48
0	48
0	59
8	56
0	45
0	59
5	3
0	3
72	0
0	0
0	0
179	0
4	367
40	367
1	292
18	292
0	86
0	94
0	103
0	81
0	89
0	98
2	47
0	1
0	1
0	0
2695	0
0	0
0	5
0	5
48	591
1	503
31	427
0	414
3	485
324	0
65	645
0	645
0	9
0	8
0	8
0	9
0	7
3	0
23	1569
181	1569
1	1747
1	1977
60	1853
1	1465
0	19
0	22
0	21
0	20
0	18
29	0
12	43
0	43
45	0
258	0
818	0
0	1657
0	1071
0	1644
122	1875
671	0
12	49
0	49
1	48
0	763
0	747
0	696
0	749
0	749
3	763
0	831
2	700
0	702
0	676
0	755
0	770
0	733
22	647
0	17
0	18
0	16
0	31
0	36
0	34
6	0
0	155
0	125
0	138
0	147
0	146
2	0
0	30
0	26
1	24
0	29
0	24
1	568
0	516
0	517
0	512
0	511
9	569
2	561
0	10
2	82
11	82
40	36
0	36
91	217
3	217
0	94
1	92
0	90
0	90
13	84
3	4
0	4
3	2
0	64
0	57
0	63
3	46
0	56
0	58
0	55
0	51
2	62
0	62
0	333
0	317
0	305
0	289
0	336
0	321
0	320
0	337
89	0
2	5326
2	5454
0	5795
0	5647
1	5475
2	5557
0	5641
5	5468
1	5321
12	5497
0	659
0	634
72	726
8	0
18	603
152	603
14	333
7	333
41	10
0	350
0	284
0	358
4	305
0	424
0	358
0	0
0	36
0	39
0	40
0	40
0	0
260	0
0	813
12	832
0	600
22	825
0	924
6	777
0	199
0	203
0	187
3	220
1	207
1	213
1	224
0	198
0	236
0	212
0	226
2	199
0	171
0	211
1	216
13	232
2	232
2	188
34	188
0	393
0	409
0	439
1	422
0	1955
0	1932
0	1935
0	1989
0	1901
1	959
14	1057
0	695
0	0
263	0
0	91
41	91
0	58
0	201
0	222
5	211
1	204
1	207
3	244
0	214
4	174
4	0
0	0
138	0
147	0
1	29
0	29
0	0
0	3
1	3
0	0
8	2811
0	2893
9	2850
55	475
23	458
49	475
0	366
0	309
0	362
0	316
0	319
0	316
0	320
0	271
0	274
0	324
0	328
0	281
0	325
0	329
0	279
0	282
0	283
0	294
412	0
0	1096
0	1004
0	977
0	928
0	1020
0	901
2	995
516	0
0	0
1603	0
0	290
0	308
0	292
2	278
0	274
0	307
3	288
0	260
0	291
0	286
0	280
0	264
2983	0
66	96
16	96
267	0
91	0
0	10
0	11
0	11
3	1636
5	1560
0	1758
22	1658
22	1509
0	0
3	42
0	37
0	42
0	38
0	0
1	0
1	0
9	284
12	284
56	462
0	462
0	1555
2	1694
105	1753
14	1688
155	0
0	96
0	119
0	96
0	126
0	106
0	106
0	95
0	94
0	116
0	86
0	102
0	107
0	87
0	116
1135	0
0	4
0	4
0	0
489	0
150	0
1	4
0	4
0	4
3	806
5	809
9	807
0	848
0	846
0	5
0	5
243	0
96	0
44	0
0	0
0	8
0	6
1	5
1	0
1	289
0	286
0	308
0	289
0	232
70	0
0	4
8	23
0	4
0	23
0	0
1	0
8	0
2	285
27	285
0	14
0	14
1	10
0	12
0	9
0	6
8	801
1	583
29	854
0	0
1	0
56	2798
273	2798
1	0
0	14
0	14
0	14
0	13
1	4
0	4
0	0
0	0
6263	0
0	0
0	0
0	0
0	0
0	0
0	0
0	96
4	52
0	79
0	177
5	156
0	99
14	139
0	0
0	0
0	0
8	16
0	16
8	182
4	182
1	5
0	5
60	0
0	14
0	17
0	17
0	18
0	18
0	14
0	145
3	85
0	75
0	119
0	0
0	296
23	296
7	14
0	14
37	20
0	20
27	136
3	136
1142	0
0	194
0	168
0	145
1	169
0	135
53	135
0	0
6	0
4	14384
2198	14384
0	0
30	0
13	0
0	0
0	104
27	104
197	0
0	0
0	1093
0	1178
9	1100
2	1005
0	1083
0	999
0	1272
0	1116
0	1022
0	1021
0	839
0	1115
0	1105
0	1011
2	360
0	344
0	378
3	371
28	345
0	402
1	288
0	320
0	272
0	233
0	218
8	204
477	0
0	344
0	351
1	317
2	349
0	360
5	350
0	1171
123	1171
17	0
0	1223
2	1197
0	1288
5	1102
0	964
0	1085
0	1250
0	1129
0	1409
13	1237
77	18
2	13472
359	13472
129	0
0	76
1	59
0	75
0	86
0	0
0	149
0	142
0	132
0	148
0	147
0	139
0	163
0	162
0	153
0	152
0	145
0	150
0	140
0	158
0	151
2	145
0	163
0	172
0	155
