UniqueCount	AmbigCount
100	0
0	213
0	161
3	191
0	185
0	187
20	78
0	32
1	29
0	25
2	1852
43	1852
10	0
0	835
29	1397
0	1199
0	1199
0	88
0	82
2	81
0	86
0	83
0	88
0	90
0	78
1	87
22	119
3	119
0	0
0	1277
31	1278
1	1495
59	1226
3233	0
7	2512
266	3210
3	1542
1	2504
2	95
7	95
1	95
0	0
493	2488
3	2488
1	57
124	57
0	1097
1	1057
6	1047
1	1094
0	1067
0	1212
0	8
0	8
82	296
0	296
31	296
295	288
10	288
44	0
37	0
2	73
15	73
135	0
0	834
1	821
0	828
0	832
0	825
3	826
0	810
0	804
41	0
471	0
8	110
0	110
0	113
0	110
0	113
9	0
1	411
36	411
7	410
0	0
0	0
20	216
0	222
0	137
0	126
506	3328
3	3328
0	0
0	0
0	8850
0	8745
2	8975
0	8984
0	9128
1	8799
0	8987
0	8997
0	0
3	606
0	626
0	608
13	639
0	483
11	367
0	619
710	1
0	2
0	2
1	2
258	0
0	68
0	70
0	94
15	92
0	70
0	92
9	10
0	10
126	0
0	0
0	0
130	0
11	530
70	530
3	770
83	770
0	156
0	186
0	212
0	148
0	178
0	204
1	98
0	1
1	1
0	0
2422	0
0	0
0	11
2	11
110	842
11	752
31	661
1	649
5	701
261	0
96	834
0	834
0	7
0	8
0	7
0	8
0	4
2	0
30	3066
377	3066
26	4396
0	4937
140	4611
3	3587
1	147
0	197
0	164
0	176
0	167
18	0
5	26
0	26
20	0
414	0
2201	0
0	3123
0	2015
0	3086
279	3537
1121	0
16	60
0	60
0	59
0	977
0	930
0	890
2	929
0	931
1	966
0	1048
0	883
0	884
0	874
0	970
1	964
0	952
31	832
0	26
2	29
0	23
0	30
0	37
0	31
5	0
0	164
0	134
0	158
0	159
0	164
4	0
0	18
0	17
0	17
3	16
0	19
0	495
0	445
0	444
0	441
0	441
4	494
0	489
3	7
3	182
20	182
43	30
1	30
137	375
9	375
0	107
2	106
1	104
1	103
6	95
10	6
0	6
4	5
0	53
0	43
0	52
2	31
0	42
0	49
0	42
0	39
0	51
0	52
0	207
0	199
0	206
0	198
0	209
0	211
0	201
0	219
107	0
4	4328
3	4419
0	4723
0	4602
0	4475
8	4535
0	4607
3	4440
8	4359
12	4517
2	973
5	988
122	1119
11	0
19	842
218	842
9	391
9	391
9	2
0	257
0	211
0	232
2	221
0	278
0	228
0	0
0	37
1	40
0	42
0	39
0	0
273	0
1	960
19	990
2	750
27	981
0	1113
7	931
0	287
0	294
0	289
11	323
1	299
0	287
1	310
0	278
0	346
0	318
2	312
5	289
0	268
0	317
0	311
15	253
2	253
1	184
24	184
0	752
0	775
0	826
1	783
0	2443
1	2434
0	2445
0	2512
0	2376
1	755
18	841
1	554
0	0
384	0
0	179
49	179
0	105
0	230
0	258
4	237
0	238
5	243
2	309
7	277
3	226
4	0
0	0
114	0
189	0
7	118
2	118
1	2
1	4
0	4
0	0
5	2414
0	2461
4	2414
95	617
32	602
48	617
0	496
0	418
0	487
0	445
0	456
0	447
0	456
0	405
0	416
0	447
0	456
0	416
0	444
0	453
0	402
0	413
0	413
1	398
379	0
0	1862
0	1743
0	1697
0	1626
0	1745
0	1580
17	1673
586	0
0	0
1730	0
0	362
0	402
0	377
0	359
0	349
0	385
2	375
0	340
0	360
3	355
0	372
0	347
2033	0
91	87
33	87
745	0
61	0
0	7
0	6
0	7
0	3014
4	2992
0	3276
34	3061
33	2714
0	0
4	57
0	51
2	61
0	53
1	0
19	0
0	0
11	381
9	381
54	450
0	450
0	1006
5	1111
60	1161
22	1108
212	0
0	63
1	77
0	61
0	74
0	65
0	66
0	64
0	61
0	70
0	57
0	66
0	69
0	63
0	72
1143	0
0	7
1	7
0	0
724	0
226	0
1	12
0	12
0	12
1	1147
4	1151
12	1149
2	1203
0	1199
0	35
4	35
247	0
90	0
38	0
0	0
0	30
0	21
0	27
1	0
1	321
1	320
0	357
0	321
0	274
160	0
2	7
14	34
0	7
