UniqueCount	AmbigCount
128	0
0	164
0	127
3	140
0	132
1	134
8	50
0	10
0	10
0	9
1	1212
26	1212
11	0
1	795
36	1315
1	1095
1	1095
0	22
0	21
0	22
0	22
0	19
0	22
0	22
0	21
1	22
11	47
0	47
0	0
0	1114
20	1114
2	1339
42	1116
2507	0
8	2280
146	2930
2	1326
0	2277
0	65
2	65
2	64
0	0
242	1846
0	1846
0	30
73	30
4	1919
5	1895
9	1838
1	1951
1	1915
0	2162
2	6
0	6
52	282
1	281
31	282
274	322
4	322
163	0
14	0
1	41
9	41
116	0
0	845
0	843
0	839
0	848
1	852
0	849
0	831
0	825
45	0
420	0
15	214
0	218
1	227
0	217
0	226
46	0
0	382
25	383
2	383
0	0
0	0
18	150
0	169
1	105
0	102
271	1578
11	1578
0	0
1	0
0	8387
1	8285
2	8512
0	8483
0	8602
1	8311
0	8469
0	8505
0	0
1	486
0	497
0	490
23	510
0	406
11	300
0	499
480	0
1	3
0	1
0	3
205	0
0	58
0	57
0	73
6	73
1	51
0	74
9	1
0	1
96	0
0	0
0	0
189	0
10	540
54	540
2	631
78	631
0	166
0	186
0	218
0	165
0	185
0	217
3	103
0	3
1	3
0	0
1891	0
0	0
0	8
0	8
74	897
9	821
23	700
1	689
1	741
239	0
59	611
1	611
0	5
0	5
0	5
0	5
0	5
8	0
29	2219
291	2219
4	2937
0	3270
86	3093
2	2426
0	509
0	761
1	594
0	651
0	680
24	0
6	13
0	13
25	0
260	0
1091	0
0	2844
0	1853
0	2823
206	3233
917	0
11	58
0	58
1	57
0	1122
0	1033
0	1048
0	1106
0	1106
2	1096
0	1204
0	1044
0	1048
0	1023
0	1117
0	1132
0	1089
35	911
0	31
1	38
1	33
0	40
0	44
0	40
86	0
0	119
0	96
0	112
0	121
0	110
12	0
0	36
0	34
0	32
4	30
0	35
0	610
0	551
0	543
2	543
0	542
6	602
1	601
0	10
2	109
19	109
61	29
0	29
126	313
1	313
0	88
1	93
3	90
0	85
5	72
8	9
0	9
4	8
0	38
0	33
0	41
5	28
0	36
0	36
0	36
0	31
1	41
0	41
0	248
0	247
0	234
0	233
0	257
0	265
0	256
0	266
89	0
1	3885
4	3956
0	4260
0	4157
0	4024
4	4087
0	4144
2	3972
6	3908
8	4044
1	945
4	976
124	1072
6	0
14	794
217	794
15	536
8	536
13	2
0	169
0	143
0	169
0	146
0	195
1	166
0	0
0	38
0	42
