"TXNAME","GENEID"
"AT1G01020_P1","AT1G01020"
"AT1G01020_P2","AT1G01020"
"AT1G01020_P3","AT1G01020"
"AT1G01020_P4","AT1G01020"
"AT1G01020_P5","AT1G01020"
"AT1G01020_P6","AT1G01020"
"AT1G01060.2","AT1G01060"
"AT1G01060.3","AT1G01060"
"AT1G01060.4","AT1G01060"
"AT1G01060.5","AT1G01060"
"AT1G01060_ID6","AT1G01060"
"AT1G01060_JS31","AT1G01060"
"AT1G01060_P1","AT1G01060"
"AT1G01060_P6","AT1G01060"
"AT1G01060_P7","AT1G01060"
"AT1G01070_P1","AT1G01070"
"AT1G01070_P2","AT1G01070"
"AT1G01120_P1","AT1G01120"
"AT1G01120_s1","AT1G01120"
"AT1G01130.1","AT1G01130"
"AT1G01130_ID1","AT1G01130"
"AT1G01180_P1","AT1G01180"
"AT1G01190_P2","AT1G01190"
"AT1G01220_P1","AT1G01220"
"AT1G01220_P2","AT1G01220"
"AT1G01220_P3","AT1G01220"
"AT1G01220_P4","AT1G01220"
"AT1G01220_P5","AT1G01220"
"AT1G01220_P6","AT1G01220"
"AT1G01220_P7","AT1G01220"
"AT1G01220_P8","AT1G01220"
"AT1G01240_P1","AT1G01240"
"AT1G01240_P2","AT1G01240"
"AT1G01240_P3","AT1G01240"
"AT1G01240_P4","AT1G01240"
"AT1G01240_P5","AT1G01240"
"AT1G01250_P1","AT1G01250"
"AT1G01260_ID2","AT1G01260"
"AT1G01260_P1","AT1G01260"
"AT1G01260_P3","AT1G01260"
"AT1G01300_P1","AT1G01300"
"AT1G01300_s1","AT1G01300"
"AT1G01310.1","AT1G01310"
"AT1G01340.1","AT1G01340"
"AT1G01340_ID2","AT1G01340"
"AT1G01340_JS2","AT1G01340"
"AT1G01340_P2","AT1G01340"
"AT1G01340_c1","AT1G01340"
"AT1G01340_s1","AT1G01340"
"AT1G01340_s2","AT1G01340"
"AT1G01360_P1","AT1G01360"
"AT1G01390_P2","AT1G01390"
"AT1G01430_ID2","AT1G01430"
"AT1G01430_P1","AT1G01430"
"AT1G01448_ID1","AT1G01448"
"AT1G01448_ID2","AT1G01448"
"AT1G01448_ID3","AT1G01448"
"AT1G01448_ID4","AT1G01448"
"AT1G01448_ID5","AT1G01448"
"AT1G01448_ID6","AT1G01448"
"AT1G01500_P1","AT1G01500"
"AT1G01550_JS1","AT1G01550"
"AT1G01550_P1","AT1G01550"
"AT1G01550_P2","AT1G01550"
"AT1G01550_c1","AT1G01550"
"AT1G01560.1","AT1G01560"
"AT1G01560_P2","AT1G01560"
"AT1G01560_P3","AT1G01560"
"AT1G01560_P4","AT1G01560"
"AT1G01560_c1","AT1G01560"
"AT1G01620.2","AT1G01620"
"AT1G01620_ID2","AT1G01620"
"AT1G01620_JC3","AT1G01620"
"AT1G01620_P1","AT1G01620"
"AT1G01660.1","AT1G01660"
"AT1G01660_P2","AT1G01660"
"AT1G01660_c1","AT1G01660"
"AT1G01710.1","AT1G01710"
"AT1G01710_JC10","AT1G01710"
"AT1G01710_JC11","AT1G01710"
"AT1G01710_JC12","AT1G01710"
"AT1G01710_JC14","AT1G01710"
"AT1G01710_JC18","AT1G01710"
"AT1G01710_JC8","AT1G01710"
"AT1G01740.1","AT1G01740"
"AT1G01740_P2","AT1G01740"
"AT1G01740_P3","AT1G01740"
"AT1G01740_P4","AT1G01740"
"AT1G01740_P5","AT1G01740"
"AT1G01770_ID11","AT1G01770"
"AT1G01770_ID15","AT1G01770"
"AT1G01770_ID19","AT1G01770"
"AT1G01770_ID23","AT1G01770"
"AT1G01770_ID4","AT1G01770"
"AT1G01770_ID7","AT1G01770"
"AT1G01770_ID8","AT1G01770"
"AT1G01770_P1","AT1G01770"
"AT1G01790_ID8","AT1G01790"
"AT1G01790_JC8","AT1G01790"
"AT1G01790_P1","AT1G01790"
"AT1G01790_P2","AT1G01790"
"AT1G01790_c1","AT1G01790"
"AT1G01790_c2","AT1G01790"
"AT1G01790_c3","AT1G01790"
"AT1G01790_c4","AT1G01790"
"AT1G01790_s1","AT1G01790"
"AT1G01790_s2","AT1G01790"
"AT1G01910.3","AT1G01910"
"AT1G01910.4","AT1G01910"
"AT1G01910.5","AT1G01910"
"AT1G01910_ID2","AT1G01910"
"AT1G01910_ID6","AT1G01910"
"AT1G01910_JS5","AT1G01910"
"AT1G01920.1","AT1G01920"
"AT1G01920_ID170","AT1G01920"
"AT1G01920_ID193","AT1G01920"
"AT1G01920_ID219","AT1G01920"
"AT1G01920_JC7","AT1G01920"
"AT1G01920_JS2","AT1G01920"
"AT1G01920_JS3","AT1G01920"
"AT1G01920_JS5","AT1G01920"
"AT1G01920_P2","AT1G01920"
"AT1G01920_P3","AT1G01920"
"AT1G01920_P4","AT1G01920"
"AT1G01920_P5","AT1G01920"
"AT1G01920_c1","AT1G01920"
"AT1G01920_s1","AT1G01920"
"AT1G01920_s2","AT1G01920"
"AT1G01960_JC16","AT1G01960"
"AT1G01960_JC7","AT1G01960"
"AT1G01960_JS3","AT1G01960"
"AT1G01960_P1","AT1G01960"
"AT1G01960_c1","AT1G01960"
"AT1G02030_P1","AT1G02030"
"AT1G02090_P1","AT1G02090"
"AT1G02090_P2","AT1G02090"
"AT1G02090_P3","AT1G02090"
"AT1G02100.1","AT1G02100"
"AT1G02100.2","AT1G02100"
"AT1G02100_ID161","AT1G02100"
"AT1G02100_ID163","AT1G02100"
"AT1G02100_ID164","AT1G02100"
"AT1G02100_ID165","AT1G02100"
"AT1G02100_ID166","AT1G02100"
"AT1G02100_ID167","AT1G02100"
"AT1G02100_ID168","AT1G02100"
"AT1G02100_ID169","AT1G02100"
"AT1G02100_ID170","AT1G02100"
"AT1G02100_ID172","AT1G02100"
"AT1G02100_ID173","AT1G02100"
"AT1G02100_ID174","AT1G02100"
"AT1G02100_ID175","AT1G02100"
"AT1G02100_ID176","AT1G02100"
"AT1G02100_ID178","AT1G02100"
"AT1G02100_ID185","AT1G02100"
"AT1G02120.1","AT1G02120"
"AT1G02120_ID34","AT1G02120"
"AT1G02120_ID36","AT1G02120"
"AT1G02120_ID46","AT1G02120"
"AT1G02120_ID47","AT1G02120"
"AT1G02120_ID48","AT1G02120"
"AT1G02120_ID8","AT1G02120"
