"TXNAME","GENEIND"
"AT1G01010.1","AT1G01010"
"AT1G01020_P2","AT1G01020"
"AT1G01020_P6","AT1G01020"
"AT1G01020_P1","AT1G01020"
"AT1G01020_P3","AT1G01020"
"AT1G01020_P4","AT1G01020"
"AT1G01020_P5","AT1G01020"
"AT1G01030.1","AT1G01030"
"AT1G01030_P2","AT1G01030"
"AT1G01030_ID1","AT1G01030"
"AT1G01040_P1","AT1G01040"
"AT1G01040.2","AT1G01040"
"AT1G01046.1","AT1G01046"
"AT1G01050_c1","AT1G01050"
"AT1G01050_ID7","AT1G01050"
"AT1G01050_P1","AT1G01050"
"AT1G01050_P2","AT1G01050"
"AT1G01060_P6","AT1G01060"
"AT1G01060.3","AT1G01060"
"AT1G01060_JS31","AT1G01060"
"AT1G01060_P1","AT1G01060"
"AT1G01060_P7","AT1G01060"
"AT1G01060.2","AT1G01060"
"AT1G01060.4","AT1G01060"
"AT1G01060_ID6","AT1G01060"
"AT1G01060.5","AT1G01060"
"AT1G01070_P1","AT1G01070"
"AT1G01070_P2","AT1G01070"
"AT1G01073.1","AT1G01073"
"AT1G01080_P1","AT1G01080"
"AT1G01080_P3","AT1G01080"
"AT1G01080_JS1","AT1G01080"
"AT1G01080.2","AT1G01080"
"AT1G01090_P1","AT1G01090"
"AT1G01100_P2","AT1G01100"
"AT1G01100_P1","AT1G01100"
"AT1G01100_P4","AT1G01100"
"AT1G01100_P3","AT1G01100"
"AT1G01110_P2","AT1G01110"
"AT1G01110_s1","AT1G01110"
"AT1G01110_P1","AT1G01110"
"AT1G01115.1","AT1G01115"
"AT1G01120_P1","AT1G01120"
"AT1G01120_s1","AT1G01120"
"AT1G01130.1","AT1G01130"
"AT1G01130_ID1","AT1G01130"
"AT1G01140_ID5","AT1G01140"
"AT1G01140_ID2","AT1G01140"
"AT1G01140_ID7","AT1G01140"
"AT1G01140_P1","AT1G01140"
"AT1G01140.2","AT1G01140"
"AT1G01140.3","AT1G01140"
"AT1G01150_P1","AT1G01150"
"AT1G01150_P2","AT1G01150"
"AT1G01160_s1","AT1G01160"
"AT1G01160.1","AT1G01160"
"AT1G01160.2","AT1G01160"
"AT1G01170.2","AT1G01170"
"AT1G01170.1","AT1G01170"
"AT1G01180_P1","AT1G01180"
"AT1G01190_P2","AT1G01190"
"AT1G01200_P1","AT1G01200"
"AT1G01200_JC1","AT1G01200"
"AT1G01210_P3","AT1G01210"
"AT1G01220_P1","AT1G01220"
"AT1G01220_P2","AT1G01220"
"AT1G01220_P3","AT1G01220"
"AT1G01220_P4","AT1G01220"
"AT1G01220_P6","AT1G01220"
"AT1G01220_P5","AT1G01220"
"AT1G01220_P7","AT1G01220"
"AT1G01220_P8","AT1G01220"
"AT1G01225_P1","AT1G01225"
"AT1G01230_P1","AT1G01230"
"AT1G01240_P4","AT1G01240"
"AT1G01240_P1","AT1G01240"
"AT1G01240_P2","AT1G01240"
"AT1G01240_P3","AT1G01240"
"AT1G01240_P5","AT1G01240"
"AT1G01250_P1","AT1G01250"
"AT1G01260_P3","AT1G01260"
"AT1G01260_P1","AT1G01260"
"AT1G01260_ID2","AT1G01260"
"AT1G01270.1","AT1G01270"
"AT1G01280.1","AT1G01280"
"AT1G01290_c1","AT1G01290"
"AT1G01290_P1","AT1G01290"
"AT1G01290_P2","AT1G01290"
"AT1G01290_c2","AT1G01290"
"AT1G01300_P1","AT1G01300"
"AT1G01300_s1","AT1G01300"
"AT1G01305_P1","AT1G01305"
"AT1G01310.1","AT1G01310"
"AT1G01320.2","AT1G01320"
"AT1G01320_JC2","AT1G01320"
"AT1G01320_JC3","AT1G01320"
"AT1G01320_JS4","AT1G01320"
"AT1G01320_JS6","AT1G01320"
"AT1G01320.1","AT1G01320"
"AT1G01320_ID7","AT1G01320"
"AT1G01320_ID8","AT1G01320"
"AT1G01335_P1","AT1G01335"
"AT1G01340_JS2","AT1G01340"
"AT1G01340_s1","AT1G01340"
"AT1G01340_s2","AT1G01340"
"AT1G01340_c1","AT1G01340"
"AT1G01340_P2","AT1G01340"
"AT1G01340_ID2","AT1G01340"
"AT1G01340.1","AT1G01340"
"AT1G01350_P1","AT1G01350"
"AT1G01355_P2","AT1G01355"
"AT1G01355_P3","AT1G01355"
"AT1G01355_P1","AT1G01355"
"AT1G01360_P1","AT1G01360"
"AT1G01370_P1","AT1G01370"
"AT1G01370_P2","AT1G01370"
"AT1G01370_P3","AT1G01370"
"AT1G01370_P4","AT1G01370"
"AT1G01370_ID1","AT1G01370"
"AT1G01370_JC6","AT1G01370"
"AT1G01380.1","AT1G01380"
"AT1G01380_P3","AT1G01380"
"AT1G01390_P2","AT1G01390"
"AT1G01400.1","AT1G01400"
"AT1G01410.1","AT1G01410"
"AT1G01420_P2","AT1G01420"
"AT1G01430_P1","AT1G01430"
"AT1G01430_ID2","AT1G01430"
"AT1G01440_P1","AT1G01440"
"AT1G01440_JC9","AT1G01440"
"AT1G01448_ID1","AT1G01448"
"AT1G01448_ID2","AT1G01448"
"AT1G01448_ID3","AT1G01448"
"AT1G01448_ID4","AT1G01448"
"AT1G01448_ID5","AT1G01448"
"AT1G01448_ID6","AT1G01448"
"AT1G01450.1","AT1G01450"
"AT1G01453_P1","AT1G01453"
"AT1G01453.2","AT1G01453"
"AT1G01460_P1","AT1G01460"
"AT1G01470_P1","AT1G01470"
"AT1G01471.1","AT1G01471"
"AT1G01480_P1","AT1G01480"
"AT1G01480.2","AT1G01480"
"AT1G01490_P3","AT1G01490"
"AT1G01490_P4","AT1G01490"
"AT1G01490_P1","AT1G01490"
"AT1G01490_P2","AT1G01490"
"AT1G01490_c3","AT1G01490"
"AT1G01500_P1","AT1G01500"
"AT1G01510_c1","AT1G01510"
"AT1G01510.1","AT1G01510"
"AT1G01520_P1","AT1G01520"
"AT1G01520_P2","AT1G01520"
"AT1G01520_P3","AT1G01520"
"AT1G01520_P4","AT1G01520"
"AT1G01520_P5","AT1G01520"
"AT1G01530_P1","AT1G01530"
"AT1G01540_P2","AT1G01540"
"AT1G01540.1","AT1G01540"
"AT1G01550_P1","AT1G01550"
"AT1G01550_JS1","AT1G01550"
"AT1G01550_P2","AT1G01550"
"AT1G01550_c1","AT1G01550"
"AT1G01560_P3","AT1G01560"
"AT1G01560_P2","AT1G01560"
"AT1G01560.1","AT1G01560"
"AT1G01560_P4","AT1G01560"
"AT1G01560_c1","AT1G01560"
"AT1G01570_P2","AT1G01570"
"AT1G01580_P2","AT1G01580"
"AT1G01580_s1","AT1G01580"
"AT1G01590_P1","AT1G01590"
"AT1G01600_P1","AT1G01600"
"AT1G01610_P1","AT1G01610"
"AT1G01620.2","AT1G01620"
"AT1G01620_JC3","AT1G01620"
"AT1G01620_P1","AT1G01620"
"AT1G01620_ID2","AT1G01620"
"AT1G01630.1","AT1G01630"
"AT1G01640_s1","AT1G01640"
"AT1G01640.2","AT1G01640"
"AT1G01640.1","AT1G01640"
"AT1G01650_s1","AT1G01650"
"AT1G01650_s2","AT1G01650"
"AT1G01650_s3","AT1G01650"
"AT1G01650_s4","AT1G01650"
"AT1G01650_s5","AT1G01650"
"AT1G01650_P1","AT1G01650"
"AT1G01650_JC1","AT1G01650"
"AT1G01650_JC3","AT1G01650"
"AT1G01650.2","AT1G01650"
"AT1G01650_JS3","AT1G01650"
"AT1G01650_P2","AT1G01650"
"AT1G01650_P3","AT1G01650"
"AT1G01650_ID24","AT1G01650"
"AT1G01650_ID44","AT1G01650"
"AT1G01660_c1","AT1G01660"
"AT1G01660_P2","AT1G01660"
"AT1G01660.1","AT1G01660"
"AT1G01670_P1","AT1G01670"
"AT1G01670_P2","AT1G01670"
"AT1G01670_ID1","AT1G01670"
"AT1G01680_P1","AT1G01680"
"AT1G01690_P2","AT1G01690"
"AT1G01690_JC4","AT1G01690"
"AT1G01690_P1","AT1G01690"
"AT1G01690.1","AT1G01690"
"AT1G01690_P3","AT1G01690"
"AT1G01695_P1","AT1G01695"
"AT1G01700_P1","AT1G01700"
"AT1G01700_P2","AT1G01700"
"AT1G01700_P3","AT1G01700"
"AT1G01700_P4","AT1G01700"
"AT1G01700_P5","AT1G01700"
"AT1G01710.1","AT1G01710"
"AT1G01710_JC10","AT1G01710"
"AT1G01710_JC11","AT1G01710"
"AT1G01710_JC12","AT1G01710"
"AT1G01710_JC14","AT1G01710"
"AT1G01710_JC18","AT1G01710"
"AT1G01710_JC8","AT1G01710"
"AT1G01715_P1","AT1G01715"
"AT1G01720_P1","AT1G01720"
"AT1G01720_ID2","AT1G01720"
"AT1G01725.1","AT1G01725"
"AT1G01725_ID1","AT1G01725"
"AT1G01730.1","AT1G01730"
"AT1G01730_ID2","AT1G01730"
"AT1G01740.1","AT1G01740"
"AT1G01740_P4","AT1G01740"
"AT1G01740_P5","AT1G01740"
"AT1G01740_P2","AT1G01740"
"AT1G01740_P3","AT1G01740"
"AT1G01750_P1","AT1G01750"
"AT1G01750_P2","AT1G01750"
"AT1G01750_ID2","AT1G01750"
"AT1G01760.1","AT1G01760"
"AT1G01760_ID15","AT1G01760"
"AT1G01760_ID29","AT1G01760"
"AT1G01760_ID3","AT1G01760"
"AT1G01760_ID31","AT1G01760"
"AT1G01760_ID6","AT1G01760"
"AT1G01760_ID7","AT1G01760"
"AT1G01760_ID8","AT1G01760"
"AT1G01760_c7","AT1G01760"
"AT1G01760_P2","AT1G01760"
"AT1G01770_P1","AT1G01770"
"AT1G01770_ID11","AT1G01770"
"AT1G01770_ID15","AT1G01770"
"AT1G01770_ID19","AT1G01770"
"AT1G01770_ID23","AT1G01770"
"AT1G01770_ID4","AT1G01770"
"AT1G01770_ID7","AT1G01770"
"AT1G01770_ID8","AT1G01770"
"AT1G01780.1","AT1G01780"
"AT1G01790_P1","AT1G01790"
"AT1G01790_c1","AT1G01790"
"AT1G01790_c2","AT1G01790"
"AT1G01790_c3","AT1G01790"
"AT1G01790_P2","AT1G01790"
"AT1G01790_c4","AT1G01790"
"AT1G01790_s1","AT1G01790"
"AT1G01790_s2","AT1G01790"
"AT1G01790_JC8","AT1G01790"
"AT1G01790_ID8","AT1G01790"
"AT1G01800_P1","AT1G01800"
"AT1G01800.2","AT1G01800"
"AT1G01800_ID1","AT1G01800"
"AT1G01810_P1","AT1G01810"
"AT1G01820_ID2","AT1G01820"
"AT1G01820_P1","AT1G01820"
"AT1G01830_P2","AT1G01830"
"AT1G01830_c1","AT1G01830"
"AT1G01840.1","AT1G01840"
"AT1G01860_ID11","AT1G01860"
"AT1G01860_ID12","AT1G01860"
"AT1G01860_ID8","AT1G01860"
"AT1G01860_ID9","AT1G01860"
"AT1G01860_c1","AT1G01860"
"AT1G01860_P1","AT1G01860"
"AT1G01870.1","AT1G01870"
"AT1G01880_P3","AT1G01880"
"AT1G01880.2","AT1G01880"
"AT1G01880_P1","AT1G01880"
"AT1G01880_ID2","AT1G01880"
"AT1G01890.1","AT1G01890"
"AT1G01900_P1","AT1G01900"
"AT1G01910.4","AT1G01910"
"AT1G01910_JS5","AT1G01910"
"AT1G01910_ID2","AT1G01910"
"AT1G01910_ID6","AT1G01910"
"AT1G01910.3","AT1G01910"
"AT1G01910.5","AT1G01910"
"AT1G01920_P2","AT1G01920"
"AT1G01920_P3","AT1G01920"
"AT1G01920_P4","AT1G01920"
"AT1G01920_P5","AT1G01920"
"AT1G01920_JS2","AT1G01920"
"AT1G01920_JS3","AT1G01920"
"AT1G01920_JC7","AT1G01920"
"AT1G01920_s1","AT1G01920"
"AT1G01920_s2","AT1G01920"
"AT1G01920_JS5","AT1G01920"
"AT1G01920_c1","AT1G01920"
"AT1G01920_ID170","AT1G01920"
"AT1G01920_ID193","AT1G01920"
"AT1G01920_ID219","AT1G01920"
"AT1G01920.1","AT1G01920"
"AT1G01930_c1","AT1G01930"
"AT1G01930.1","AT1G01930"
"AT1G01940_P1","AT1G01940"
"AT1G01940_ID2","AT1G01940"
"AT1G01950_P1","AT1G01950"
"AT1G01950_P4","AT1G01950"
"AT1G01950.2","AT1G01950"
"AT1G01950.3","AT1G01950"
"AT1G01960_c1","AT1G01960"
"AT1G01960_JS3","AT1G01960"
"AT1G01960_JC7","AT1G01960"
"AT1G01960_JC16","AT1G01960"
"AT1G01960_P1","AT1G01960"
"AT1G01970_P1","AT1G01970"
"AT1G01970_c2","AT1G01970"
"AT1G01970_ID1","AT1G01970"
"AT1G01980_P1","AT1G01980"
"AT1G01990_P1","AT1G01990"
"AT1G02000_P1","AT1G02000"
"AT1G02000_c1","AT1G02000"
"AT1G02000_ID2","AT1G02000"
"AT1G02010_P1","AT1G02010"
"AT1G02010_P3","AT1G02010"
"AT1G02010_P4","AT1G02010"
"AT1G02010_P5","AT1G02010"
"AT1G02010.2","AT1G02010"
"AT1G02020_c1","AT1G02020"
"AT1G02020.1","AT1G02020"
"AT1G02020.2","AT1G02020"
"AT1G02030_P1","AT1G02030"
"AT1G02040_P1","AT1G02040"
"AT1G02050_P1","AT1G02050"
"AT1G02060_P1","AT1G02060"
"AT1G02065_P2","AT1G02065"
"AT1G02065_P1","AT1G02065"
"AT1G02067_P1","AT1G02067"
"AT1G02070_P1","AT1G02070"
